	X:1
sec	Real, N
0	0.00130565
0.0003125	0.00156285
0.000625	0.00198608
0.0009375	0.00260343
0.00125	0.00291421
0.0015625	0.0031193
0.001875	0.00342898
0.0021875	0.0029468
0.0025	0.00244787
0.0028125	0.00224657
0.003125	0.00173891
0.0034375	0.00143859
0.00375	0.00121289
0.0040625	0.00123524
0.004375	0.000757616
0.0046875	-0.00012802
0.005	-0.000974999
0.0053125	-0.00126313
0.005625	-0.00161636
0.0059375	-0.00180644
0.00625	-0.0017615
0.0065625	-0.0025162
0.006875	-0.00256753
0.0071875	-0.00241859
0.0075	-0.00205134
0.0078125	-0.00196867
0.008125	-0.00185839
0.0084375	-0.00097262
0.00875	-0.000524083
0.0090625	-1.54846e-005
0.009375	-0.000213121
0.0096875	0.000298596
0.01	0.000732761
0.0103125	0.00103469
0.010625	0.00150928
0.0109375	0.00196996
0.01125	0.00198088
0.0115625	0.00208804
0.011875	0.0022533
0.0121875	0.00212296
0.0125	0.00173339
0.0128125	0.00140153
0.013125	0.00109501
0.0134375	0.000700333
0.01375	0.000109487
0.0140625	1.04579e-005
0.014375	-0.000377795
0.0146875	-0.000336408
0.015	-0.000417931
0.0153125	-0.000536721
0.015625	-0.000553708
0.0159375	-0.000859492
0.01625	-0.000821312
0.0165625	-0.00068314
0.016875	-0.000562266
0.0171875	-0.000268106
0.0175	2.23388e-006
0.0178125	0.000162686
0.018125	0.000322818
0.0184375	0.000341068
0.01875	0.00022282
0.0190625	0.00016588
0.019375	0.000713488
0.0196875	0.00120213
0.02	0.00126242
0.0203125	0.00162329
0.020625	0.00202701
0.0209375	0.00247015
0.02125	0.00302884
0.0215625	0.00332732
0.021875	0.00353862
0.0221875	0.00295158
0.0225	0.00228576
0.0228125	0.00228376
0.023125	0.00173133
0.0234375	0.00169189
0.02375	0.00142268
0.0240625	0.000928574
0.024375	0.000813172
0.0246875	-6.68883e-005
0.025	-0.000872612
0.0253125	-0.0013888
0.025625	-0.00191672
0.0259375	-0.00204815
0.02625	-0.00201338
0.0265625	-0.00227314
0.026875	-0.00258522
0.0271875	-0.00277351
0.0275	-0.0019142
0.0278125	-0.00168593
0.028125	-0.00189824
0.0284375	-0.00105502
0.02875	-0.000114201
0.0290625	8.56303e-006
0.029375	0.000100852
0.0296875	0.000141222
0.03	0.000878488
0.0303125	0.00118117
0.030625	0.00172964
0.0309375	0.00192943
0.03125	0.00208637
0.0315625	0.00203593
0.031875	0.00202222
0.0321875	0.00217907
0.0325	0.0017098
0.0328125	0.00148368
0.033125	0.00117633
0.0334375	0.000505803
0.03375	0.000124432
0.0340625	-0.000278855
0.034375	-0.000395584
0.0346875	-0.000287219
0.035	-0.000459554
0.0353125	-0.000708113
0.035625	-0.00119621
0.0359375	-0.000903097
0.03625	-0.00114444
0.0365625	-0.000994442
0.036875	-0.000761774
0.0371875	-0.000329765
0.0375	0.000111538
0.0378125	0.000309233
0.038125	0.000432097
0.0384375	0.000512156
0.03875	0.000237259
0.0390625	0.000633868
0.039375	0.000670676
0.0396875	0.00104898
0.04	0.00119314
0.0403125	0.0017213
0.040625	0.00226294
0.0409375	0.00246312
0.04125	0.0028696
0.0415625	0.00316577
0.041875	0.00348419
0.0421875	0.00321545
0.0425	0.00264315
0.0428125	0.00221023
0.043125	0.00206385
0.0434375	0.00154396
0.04375	0.00153566
0.0440625	0.000976046
0.044375	0.000947466
0.0446875	0.000486386
0.045	-0.000671362
0.0453125	-0.0011599
0.045625	-0.00155749
0.0459375	-0.00199136
0.04625	-0.00208599
0.0465625	-0.00244597
0.046875	-0.00280062
0.0471875	-0.00245716
0.0475	-0.00224105
0.0478125	-0.00192068
0.048125	-0.00162929
0.0484375	-0.00113543
0.04875	-0.000638614
0.0490625	-0.000216307
0.049375	-0.000160192
0.0496875	0.000292932
0.05	0.000785136
0.0503125	0.00126983
0.050625	0.00139743
0.0509375	0.00196229
0.05125	0.00193792
0.0515625	0.00198309
0.051875	0.00217719
0.0521875	0.00181675
0.0525	0.00178388
0.0528125	0.00147706
0.053125	0.00115773
0.0534375	0.000763674
0.05375	0.000532077
0.0540625	0.000177812
0.054375	-0.000446827
0.0546875	-0.000579191
0.055	-0.000317862
0.0553125	-0.000648428
0.055625	-0.000606853
0.0559375	-0.000675989
0.05625	-0.00103636
0.0565625	-0.000826365
0.056875	-0.000708572
0.0571875	-0.000231619
0.0575	0.000171692
0.0578125	0.000245647
0.058125	0.000454665
0.0584375	0.000243658
0.05875	-7.89263e-006
0.0590625	0.000248804
0.059375	0.000410445
0.0596875	0.000750372
0.06	0.00109259
0.0603125	0.00160975
0.060625	0.00202918
0.0609375	0.00237375
0.06125	0.00297281
0.0615625	0.00327933
0.061875	0.00323109
0.0621875	0.0034378
0.0625	0.00247018
0.0628125	0.00204559
0.063125	0.00170773
0.0634375	0.00166397
0.06375	0.00138966
0.0640625	0.00109611
0.064375	0.000896623
0.0646875	0.000190961
0.065	-0.000630977
0.0653125	-0.00121232
0.065625	-0.00175366
0.0659375	-0.00216006
0.06625	-0.00212885
0.0665625	-0.00230906
0.066875	-0.00253489
0.0671875	-0.00250647
0.0675	-0.00236756
0.0678125	-0.00175369
0.068125	-0.00173251
0.0684375	-0.00139384
0.06875	-0.000616732
