	X:1
sec	Real, N
0	0.00296486
0.0003125	0.00267983
0.000625	0.00218405
0.0009375	0.00109747
0.00125	0.0002654
0.0015625	-9.63765e-005
0.001875	-0.000905891
0.0021875	-0.00149587
0.0025	-0.00170727
0.0028125	-0.00181829
0.003125	-0.00151984
0.0034375	-0.00115145
0.00375	-0.000636928
0.0040625	-0.000478708
0.004375	0.000532315
0.0046875	0.0010158
0.005	0.00159641
0.0053125	0.00209141
0.005625	0.00243397
0.0059375	0.00312464
0.00625	0.00354114
0.0065625	0.00412055
0.006875	0.00438549
0.0071875	0.00488176
0.0075	0.00531726
0.0078125	0.00532151
0.008125	0.00506998
0.0084375	0.00489041
0.00875	0.00518238
0.0090625	0.00449457
0.009375	0.00415425
0.0096875	0.00363281
0.01	0.00291219
0.0103125	0.0024601
0.010625	0.00184362
0.0109375	0.00117453
0.01125	0.000504557
0.0115625	7.54143e-005
0.011875	-0.000527842
0.0121875	-0.000891029
0.0125	-0.00170569
0.0128125	-0.00175152
0.013125	-0.00150154
0.0134375	-0.00139448
0.01375	-0.000534873
0.0140625	-0.000185598
0.014375	0.00032867
0.0146875	0.00116124
0.015	0.00186253
0.0153125	0.00192238
0.015625	0.00241967
0.0159375	0.0028607
0.01625	0.00359689
0.0165625	0.0035224
0.016875	0.0043755
0.0171875	0.00485653
0.0175	0.00495977
0.0178125	0.00508515
0.018125	0.00496667
0.0184375	0.0050237
0.01875	0.00490339
0.0190625	0.00446195
0.019375	0.00403554
0.0196875	0.00370599
0.02	0.00301423
0.0203125	0.00260811
0.020625	0.00201618
0.0209375	0.00129996
0.02125	0.000202943
0.0215625	-0.000181392
0.021875	-0.000602398
0.0221875	-0.00104397
0.0225	-0.0015636
0.0228125	-0.00172665
0.023125	-0.0015823
0.0234375	-0.00102723
0.02375	-0.000674996
0.0240625	-0.000416667
0.024375	0.000310743
0.0246875	0.00115642
0.025	0.00163854
0.0253125	0.00192997
0.025625	0.00270106
0.0259375	0.00281492
0.02625	0.00338781
0.0265625	0.00374159
0.026875	0.00440159
0.0271875	0.00478981
0.0275	0.00500156
0.0278125	0.0053449
0.028125	0.00541155
0.0284375	0.00530297
0.02875	0.00488256
0.0290625	0.0045579
0.029375	0.00402508
0.0296875	0.0033331
0.03	0.00293374
0.0303125	0.0023258
0.030625	0.00206156
0.0309375	0.00125027
0.03125	0.000292923
0.0315625	-0.00014337
0.031875	-0.00105489
0.0321875	-0.0015264
0.0325	-0.00173287
0.0328125	-0.00174799
0.033125	-0.00167174
0.0334375	-0.00121548
0.03375	-0.000867205
0.0340625	-0.000382686
0.034375	0.0003862
0.0346875	0.00107208
0.035	0.00170911
0.0353125	0.00221321
0.035625	0.00238872
0.0359375	0.00286141
0.03625	0.00333866
0.0365625	0.00363709
0.036875	0.00440915
0.0371875	0.00472804
0.0375	0.00513942
0.0378125	0.00502731
0.038125	0.00521318
0.0384375	0.0052272
0.03875	0.0049988
0.0390625	0.00461492
0.039375	0.00425569
0.0396875	0.00375438
0.04	0.00344386
0.0403125	0.00255164
0.040625	0.00209069
0.0409375	0.00142314
0.04125	0.000647716
0.0415625	-0.000240954
0.041875	-0.000626526
0.0421875	-0.000912509
0.0425	-0.00156297
0.0428125	-0.00168818
0.043125	-0.00141493
0.0434375	-0.00132119
0.04375	-0.000883749
0.0440625	-6.88954e-005
0.044375	0.000296549
0.0446875	0.000886738
0.045	0.0015732
0.0453125	0.00198863
0.045625	0.00242695
0.0459375	0.00302337
0.04625	0.00339948
0.0465625	0.00402334
0.046875	0.00449009
0.0471875	0.00476326
0.0475	0.00505789
0.0478125	0.0051671
0.048125	0.00514358
0.0484375	0.00491529
0.04875	0.00481342
0.0490625	0.00458364
0.049375	0.00398522
0.0496875	0.00350621
0.05	0.00312224
0.0503125	0.00220395
0.050625	0.00213263
0.0509375	0.00110839
0.05125	0.000416434
0.0515625	-3.23735e-005
0.051875	-0.000895978
0.0521875	-0.00120177
0.0525	-0.00172662
0.0528125	-0.00182138
0.053125	-0.00157274
0.0534375	-0.00147716
0.05375	-0.000999551
0.0540625	-0.000627235
0.054375	0.000128217
0.0546875	0.00125236
0.055	0.00149834
0.0553125	0.00190251
0.055625	0.00251371
0.0559375	0.00271053
0.05625	0.00344606
0.0565625	0.00358896
0.056875	0.00405092
0.0571875	0.00451829
0.0575	0.00475846
0.0578125	0.00522291
0.058125	0.0052807
0.0584375	0.00490936
0.05875	0.00506282
0.0590625	0.00467535
0.059375	0.00400867
0.0596875	0.00360074
0.06	0.00296309
0.0603125	0.00261037
0.060625	0.00200542
0.0609375	0.000929757
0.06125	0.000460236
0.0615625	-0.00019959
0.061875	-0.000822829
0.0621875	-0.00115723
0.0625	-0.00159758
0.0628125	-0.00168508
0.063125	-0.00149427
0.0634375	-0.00117287
0.06375	-0.00114336
0.0640625	-0.000468592
0.064375	0.000113115
0.0646875	0.00127897
0.065	0.00172397
0.0653125	0.00199462
0.065625	0.00228366
0.0659375	0.00288441
0.06625	0.00335724
0.0665625	0.00404773
0.066875	0.0042707
0.0671875	0.00466711
0.0675	0.00482744
0.0678125	0.00500982
0.068125	0.00507087
0.0684375	0.00509463
0.06875	0.00484536
0.0690625	0.00443323
0.069375	0.00418408
0.0696875	0.0033537
0.07	0.00307355
0.0703125	0.00266898
0.070625	0.00188783
0.0709375	0.00129719
0.07125	0.000408018
0.0715625	0.000172484
0.071875	-0.000599486
0.0721875	-0.00119582
0.0725	-0.00164116
0.0728125	-0.00189836
0.073125	-0.0017271
0.0734375	-0.00139744
0.07375	-0.000935565
0.0740625	-0.000525182
0.074375	5.42181e-005
0.0746875	0.00101185
0.075	0.00158144
0.0753125	0.00197622
0.075625	0.00235871
0.0759375	0.00280714
0.07625	0.00332349
0.0765625	0.00385156
0.076875	0.00449479
0.0771875	0.00446709
0.0775	0.00493736
0.0778125	0.00505962
0.078125	0.00538654
0.0784375	0.00528835
0.07875	0.00500212
0.0790625	0.0046932
0.079375	0.00421826
0.0796875	0.00377264
0.08	0.00299308
0.0803125	0.00273391
0.080625	0.00199501
0.0809375	0.00121694
0.08125	0.000186941
0.0815625	-4.83419e-005
0.081875	-0.000468306
