	S:1
Hz	Magnitude, N
0	0.000354007
0.390625	0.000318589
0.78125	7.92958e-005
1.17188	1.5606e-005
1.5625	4.67106e-006
1.95313	1.43394e-005
2.34375	2.01237e-005
2.73438	1.68098e-005
3.125	1.6709e-005
3.51563	1.29492e-005
3.90625	2.68475e-005
4.29688	1.41307e-005
4.6875	6.19992e-006
5.07813	5.29915e-006
5.46875	1.57871e-006
5.85938	9.15094e-006
6.25	6.21239e-006
6.64063	1.01264e-005
7.03125	7.26923e-006
7.42188	1.55318e-006
7.8125	8.96068e-006
8.20313	1.09246e-005
8.59375	1.43837e-005
8.98438	1.13137e-005
9.375	2.60102e-006
9.76563	1.64378e-006
10.1563	1.34441e-005
10.5469	2.07724e-005
10.9375	8.76629e-006
11.3281	2.80171e-006
11.7188	4.07102e-006
12.1094	6.99623e-006
12.5	1.07068e-005
12.8906	7.11206e-006
13.2813	3.78375e-006
13.6719	9.10005e-006
14.0625	6.22971e-006
14.4531	4.43093e-006
14.8438	3.66859e-006
15.2344	4.87959e-006
15.625	2.28508e-006
16.0156	6.21232e-006
16.4063	6.6705e-006
16.7969	1.78425e-006
17.1875	5.26384e-006
17.5781	1.07679e-005
17.9688	4.34283e-006
18.3594	5.83134e-006
18.75	4.12244e-006
19.1406	4.42711e-006
19.5313	8.27066e-006
19.9219	4.79239e-006
20.3125	5.05432e-006
20.7031	8.74538e-006
21.0938	9.75349e-006
21.4844	5.64825e-006
21.875	3.12168e-005
22.2656	2.92451e-005
22.6563	8.48681e-006
23.0469	4.66836e-006
23.4375	2.19352e-006
23.8281	5.4759e-006
24.2188	1.21715e-005
24.6094	6.29455e-006
25	4.23963e-006
25.3906	8.62298e-006
25.7813	7.19047e-006
26.1719	7.47088e-006
26.5625	7.69382e-006
26.9531	8.00618e-007
27.3438	5.76424e-006
27.7344	5.33568e-006
28.125	1.0729e-005
28.5156	1.07388e-005
28.9063	4.66335e-006
29.2969	1.55022e-005
29.6875	1.10916e-005
30.0781	5.96249e-006
30.4688	9.60629e-006
30.8594	1.20238e-005
31.25	5.6602e-006
31.6406	6.49679e-006
32.0313	2.15016e-005
32.4219	3.12545e-005
32.8125	1.03265e-005
33.2031	1.63238e-005
33.5938	2.78863e-005
33.9844	1.43028e-005
34.375	1.35934e-006
