	S:1
Hz	Magnitude, N
0	6.27035e-006
0.390625	0.000173634
0.78125	0.000100261
1.17188	2.36225e-005
1.5625	1.8602e-005
1.95313	2.58445e-005
2.34375	2.09374e-005
2.73438	9.55222e-006
3.125	1.5108e-005
3.51563	1.21727e-005
3.90625	1.49834e-005
4.29688	7.48438e-006
4.6875	6.85631e-006
5.07813	3.49758e-006
5.46875	8.23047e-006
5.85938	1.19769e-005
6.25	1.56407e-005
6.64063	9.2563e-006
7.03125	1.2221e-005
7.42188	1.84713e-005
7.8125	7.94641e-006
8.20313	6.8812e-006
8.59375	8.76496e-006
8.98438	2.25548e-006
9.375	1.13467e-005
9.76563	4.82239e-006
10.1563	1.35317e-005
10.5469	1.45689e-006
10.9375	9.25118e-006
11.3281	1.23849e-005
11.7188	1.11642e-005
12.1094	1.44865e-005
12.5	1.41822e-005
12.8906	6.29023e-006
13.2813	2.37327e-006
13.6719	1.63762e-006
14.0625	1.05445e-005
14.4531	9.99939e-006
14.8438	6.16917e-006
15.2344	9.23442e-006
15.625	7.09508e-006
16.0156	2.28781e-006
16.4063	8.83338e-006
16.7969	1.38245e-005
17.1875	8.95186e-006
17.5781	3.03987e-006
17.9688	6.47547e-006
18.3594	1.16977e-005
18.75	9.1352e-006
19.1406	1.70761e-006
19.5313	3.0226e-006
19.9219	4.27272e-006
20.3125	9.86743e-006
20.7031	8.51039e-006
21.0938	5.71691e-006
21.4844	7.84316e-006
21.875	2.26838e-005
22.2656	2.34077e-005
22.6563	8.92634e-006
23.0469	7.13454e-006
23.4375	2.94903e-006
23.8281	1.81175e-006
24.2188	3.37768e-006
24.6094	6.83738e-006
25	3.86439e-006
25.3906	2.16271e-006
25.7813	5.94109e-006
26.1719	2.62114e-006
26.5625	1.6904e-006
26.9531	4.26462e-006
27.3438	9.23472e-006
27.7344	1.01272e-005
28.125	4.46329e-006
28.5156	5.61577e-006
28.9063	1.03307e-005
29.2969	6.12209e-006
29.6875	3.39802e-006
30.0781	1.44248e-006
30.4688	7.25712e-006
30.8594	8.44248e-006
31.25	2.2277e-006
31.6406	8.37442e-006
32.0313	1.10102e-005
32.4219	1.76248e-005
32.8125	1.55208e-005
33.2031	3.32805e-006
33.5938	1.00018e-005
33.9844	1.24053e-005
34.375	1.03494e-005
34.7656	1.26079e-005
35.1563	1.05207e-005
35.5469	6.65613e-006
35.9375	1.05001e-005
36.3281	5.53854e-006
36.7188	5.95917e-006
37.1094	4.34854e-006
37.5	1.25786e-006
37.8906	7.01368e-006
38.2813	9.79314e-006
38.6719	6.9223e-006
39.0625	4.39947e-006
39.4531	5.45391e-006
39.8438	6.68659e-006
40.2344	9.46151e-006
40.625	8.17348e-006
41.0156	7.33082e-006
41.4063	4.80727e-006
41.7969	4.30413e-006
42.1875	3.25206e-006
42.5781	3.78471e-006
42.9688	5.34472e-006
43.3594	5.32944e-006
43.75	4.37558e-006
44.1406	1.81119e-006
44.5313	2.55308e-006
44.9219	4.15169e-006
45.3125	4.88003e-006
45.7031	2.74041e-006
46.0938	9.42973e-006
46.4844	8.91161e-006
46.875	5.47542e-006
47.2656	2.01903e-006
47.6563	2.85097e-006
48.0469	4.67641e-006
48.4375	3.25517e-006
48.8281	4.8774e-006
49.2188	5.8336e-006
49.6094	9.08059e-006
50	1.46035e-005
50.3906	7.73842e-006
50.7813	9.67531e-007
51.1719	5.38385e-006
51.5625	2.87821e-006
51.9531	1.07892e-006
52.3438	3.61596e-006
52.7344	5.87686e-006
53.125	6.95765e-006
53.5156	6.10244e-006
53.9063	3.25376e-006
54.2969	3.9236e-006
54.6875	4.24846e-006
55.0781	1.61412e-006
55.4688	2.69867e-006
55.8594	4.75136e-006
56.25	6.82746e-006
56.6406	5.68563e-006
57.0313	6.45731e-006
57.4219	7.09997e-006
57.8125	7.20805e-006
58.2031	6.76607e-006
58.5938	1.72803e-006
58.9844	4.26963e-006
59.375	4.63651e-006
59.7656	8.77506e-006
60.1563	7.96681e-006
60.5469	2.20272e-006
60.9375	4.83142e-007
61.3281	3.33952e-006
61.7188	5.52112e-006
62.1094	3.04196e-006
62.5	8.73698e-007
62.8906	2.41731e-006
63.2813	3.49333e-006
63.6719	6.34652e-006
64.0625	5.64567e-006
64.4531	7.0154e-006
64.8438	9.10778e-006
65.2344	6.50789e-006
65.625	2.3432e-006
66.0156	3.49752e-006
66.4063	5.42194e-006
66.7969	2.34302e-006
67.1875	1.42744e-006
67.5781	4.06508e-006
67.9688	4.79616e-006
68.3594	1.28914e-006
68.75	1.80925e-006
69.1406	4.8023e-006
69.5313	6.97584e-006
69.9219	5.13735e-006
70.3125	4.98625e-006
70.7031	5.23698e-006
71.0938	3.19226e-006
71.4844	3.17039e-006
71.875	6.59383e-006
72.2656	5.43574e-006
72.6563	3.78537e-007
73.0469	5.23476e-006
73.4375	5.13278e-006
73.8281	3.44738e-006
74.2188	9.23276e-006
74.6094	9.27114e-006
75	6.72854e-006
75.3906	3.84465e-006
75.7813	4.41496e-006
76.1719	5.89807e-006
76.5625	4.14164e-006
76.9531	5.73377e-006
77.3438	7.45637e-006
77.7344	3.98507e-006
78.125	2.8464e-006
78.5156	3.13937e-006
78.9063	3.52086e-006
79.2969	5.8924e-006
79.6875	2.68031e-006
80.0781	3.69432e-006
80.4688	2.46376e-006
80.8594	3.26692e-006
81.25	4.10053e-006
81.6406	2.11821e-006
82.0313	3.11936e-006
82.4219	2.46994e-006
82.8125	2.19289e-006
83.2031	1.72631e-006
83.5938	4.11085e-006
83.9844	4.2265e-006
84.375	2.79845e-006
84.7656	1.11064e-006
85.1563	1.44486e-006
85.5469	4.67993e-006
85.9375	3.73407e-006
86.3281	1.39874e-006
86.7188	2.79243e-006
87.1094	3.18122e-006
87.5	4.77519e-006
87.8906	1.13405e-006
88.2813	4.01758e-006
88.6719	8.08458e-007
89.0625	3.46982e-006
89.4531	2.60642e-006
89.8438	2.23444e-006
90.2344	1.46541e-006
90.625	4.55602e-006
91.0156	4.78651e-006
91.4063	5.39802e-006
91.7969	3.15769e-006
92.1875	2.04905e-006
92.5781	3.73986e-006
92.9688	5.4722e-006
93.3594	1.25848e-006
93.75	3.87358e-006
94.1406	3.46325e-006
94.5313	3.37225e-006
94.9219	2.33809e-006
95.3125	1.73475e-006
95.7031	9.69727e-007
96.0938	3.66574e-006
96.4844	2.86927e-006
96.875	2.31669e-006
97.2656	1.99106e-006
97.6563	3.02841e-006
98.0469	2.51318e-006
98.4375	1.15427e-006
98.8281	7.03446e-006
99.2188	1.70454e-005
99.6094	0.000198094
100	0.000277165
100.391	9.11224e-005
100.781	1.03792e-005
101.172	2.12057e-006
101.563	3.1735e-006
101.953	5.37717e-006
102.344	4.53874e-006
102.734	4.39839e-006
103.125	3.67031e-006
103.516	3.96848e-006
103.906	5.21568e-006
104.297	5.78314e-006
104.688	3.04351e-006
105.078	1.7376e-006
105.469	3.71814e-006
105.859	3.23365e-006
106.25	1.74903e-006
106.641	2.8516e-006
107.031	7.54418e-006
107.422	5.02773e-006
107.813	2.46874e-006
108.203	4.3837e-006
108.594	1.92264e-006
108.984	5.63278e-006
109.375	4.13025e-006
109.766	3.97379e-006
110.156	9.52589e-006
110.547	8.53995e-006
110.938	9.18953e-006
111.328	8.04479e-006
111.719	6.40932e-006
112.109	1.51227e-006
112.5	2.47449e-006
112.891	3.25759e-006
113.281	5.41217e-006
113.672	7.44202e-006
114.063	1.45865e-006
114.453	5.41854e-006
114.844	4.20043e-006
115.234	3.34031e-006
115.625	3.16827e-006
116.016	1.32821e-006
116.406	9.00496e-007
116.797	1.47895e-006
117.188	4.34466e-006
117.578	1.66927e-006
117.969	2.23861e-006
118.359	1.20171e-006
118.75	3.09738e-006
119.141	1.18706e-006
119.531	1.82037e-006
119.922	2.92582e-006
120.313	2.58173e-006
120.703	3.46674e-006
121.094	3.71338e-006
121.484	5.33253e-006
121.875	8.58628e-006
122.266	7.14662e-006
122.656	3.50741e-006
123.047	3.56332e-006
123.438	3.02399e-006
123.828	2.15396e-006
124.219	3.24605e-006
124.609	2.17974e-006
125	5.55041e-006
125.391	6.83111e-006
125.781	5.1777e-006
126.172	3.71542e-006
126.563	2.07746e-006
126.953	5.36839e-006
127.344	8.99971e-007
127.734	3.70989e-006
128.125	5.31885e-006
128.516	6.97444e-006
128.906	4.4008e-006
129.297	2.9441e-006
129.688	4.1431e-006
130.078	4.1993e-006
130.469	1.05097e-005
130.859	1.09565e-005
131.25	6.48437e-006
131.641	7.11103e-006
132.031	8.31597e-006
132.422	5.19676e-006
132.813	3.37441e-006
133.203	7.11502e-006
133.594	7.04225e-006
133.984	2.56412e-006
134.375	1.45135e-006
134.766	3.08409e-006
135.156	1.65907e-006
135.547	3.07848e-006
135.938	1.47685e-006
136.328	5.57217e-006
136.719	4.24964e-006
137.109	2.59319e-006
137.5	2.97166e-006
137.891	1.38405e-006
138.281	1.10839e-006
138.672	5.73907e-006
139.063	5.401e-006
139.453	5.12401e-006
139.844	1.94401e-007
140.234	6.40881e-006
140.625	5.59836e-006
141.016	1.94488e-006
141.406	3.01615e-006
141.797	2.13966e-006
142.188	3.57881e-007
142.578	1.61468e-006
142.969	2.55047e-006
143.359	3.2296e-006
143.75	3.16775e-006
144.141	7.33354e-006
144.531	8.58994e-006
144.922	5.0334e-006
145.313	6.07122e-006
145.703	4.28376e-006
146.094	3.64409e-006
146.484	4.88419e-006
146.875	2.76321e-006
147.266	1.19383e-006
147.656	1.84286e-006
148.047	1.36344e-006
148.438	3.8381e-006
148.828	2.22218e-006
149.219	2.79322e-006
149.609	5.118e-006
150	5.75233e-006
150.391	1.76265e-006
150.781	6.07575e-006
151.172	7.98162e-006
151.563	3.60357e-006
151.953	2.2739e-006
152.344	4.5953e-006
152.734	3.97934e-006
153.125	3.86564e-006
153.516	2.78705e-006
153.906	1.52586e-006
154.297	2.83479e-006
154.688	1.68125e-006
155.078	1.36562e-006
155.469	3.1298e-006
155.859	3.23855e-006
156.25	5.09385e-006
156.641	3.46438e-006
157.031	5.17407e-006
157.422	2.13495e-006
157.813	7.18979e-007
158.203	6.69106e-006
158.594	8.03887e-006
158.984	7.97447e-007
159.375	4.91132e-006
159.766	1.83448e-006
160.156	1.65725e-006
160.547	1.63952e-006
160.938	1.74043e-006
161.328	2.84056e-006
161.719	2.78328e-006
162.109	2.92938e-006
162.5	4.93161e-006
162.891	5.50441e-006
163.281	4.29132e-006
163.672	6.87195e-006
164.063	5.19627e-006
164.453	2.70889e-006
164.844	2.8709e-006
165.234	1.01102e-006
165.625	2.45532e-006
166.016	4.56752e-006
166.406	6.03752e-007
166.797	6.36878e-006
167.188	4.73372e-006
167.578	9.32214e-007
167.969	2.00351e-006
168.359	6.39549e-006
168.75	8.96819e-006
169.141	4.14272e-006
169.531	5.09039e-006
169.922	6.91465e-007
170.313	5.66921e-006
170.703	4.82983e-006
171.094	2.12324e-006
171.484	1.82712e-006
171.875	5.47077e-006
172.266	8.10895e-006
172.656	7.54306e-006
173.047	9.58355e-006
173.438	7.49294e-006
173.828	6.82837e-006
174.219	1.98575e-005
174.609	8.084e-006
175	4.87634e-006
175.391	2.38689e-006
175.781	2.18768e-006
176.172	3.44184e-006
176.563	5.29769e-006
176.953	6.52561e-006
177.344	6.01557e-006
177.734	6.87825e-006
178.125	6.5913e-006
178.516	4.61384e-006
178.906	3.71366e-006
179.297	8.74595e-006
179.688	4.7501e-006
180.078	5.30473e-006
180.469	4.61851e-006
180.859	5.55009e-006
181.25	7.63327e-006
181.641	5.93431e-006
182.031	1.79886e-006
182.422	5.81842e-007
182.813	3.473e-006
