	S:1
Hz	Magnitude, N
0	0.000293543
0.390625	0.00022921
0.78125	8.41833e-005
1.17188	1.98587e-005
1.5625	1.30426e-005
1.95313	1.33849e-005
2.34375	2.59052e-005
2.73438	2.65182e-005
3.125	2.379e-005
3.51563	1.95635e-005
3.90625	1.01216e-005
4.29688	7.66592e-006
4.6875	1.25558e-005
5.07813	1.5141e-005
5.46875	1.365e-005
5.85938	1.00663e-005
6.25	7.98966e-006
6.64063	9.36259e-006
7.03125	1.73251e-005
7.42188	1.61232e-005
7.8125	9.70926e-006
8.20313	2.0317e-006
8.59375	1.43837e-005
8.98438	2.1761e-005
9.375	3.19224e-005
9.76563	2.07126e-005
10.1563	5.82082e-006
10.5469	8.32736e-006
10.9375	5.78576e-006
11.3281	3.18237e-005
11.7188	2.71523e-005
12.1094	1.66622e-006
12.5	1.4294e-005
12.8906	9.64583e-006
13.2813	1.30051e-005
13.6719	1.07827e-005
14.0625	1.23599e-005
14.4531	1.31264e-005
14.8438	1.54424e-005
15.2344	1.12418e-005
15.625	7.03908e-006
16.0156	6.64667e-006
16.4063	1.20202e-005
16.7969	1.49266e-005
17.1875	1.90433e-005
17.5781	1.72951e-005
17.9688	2.08578e-005
18.3594	2.21526e-005
18.75	1.02421e-005
19.1406	4.21975e-006
19.5313	2.99105e-006
19.9219	1.2304e-005
20.3125	1.04669e-005
20.7031	1.17059e-005
21.0938	9.13963e-006
21.4844	6.75214e-006
21.875	1.89211e-005
22.2656	1.50197e-005
22.6563	5.7778e-006
23.0469	6.25478e-006
23.4375	3.34631e-006
23.8281	4.87386e-006
24.2188	1.19755e-005
24.6094	1.75632e-005
25	5.53857e-006
25.3906	4.20572e-006
25.7813	2.79128e-006
26.1719	5.70757e-006
26.5625	6.75546e-006
26.9531	4.25666e-006
27.3438	4.18632e-006
27.7344	1.13813e-005
28.125	1.01834e-005
28.5156	4.21475e-006
28.9063	6.47221e-006
29.2969	1.50932e-005
29.6875	2.10225e-005
30.0781	1.94071e-005
30.4688	1.37926e-005
30.8594	9.9123e-006
31.25	5.142e-006
31.6406	3.75127e-006
32.0313	1.19264e-005
32.4219	1.72211e-005
32.8125	1.64826e-005
33.2031	1.52735e-005
33.5938	1.11466e-005
33.9844	2.0799e-005
34.375	1.57324e-005
34.7656	8.35101e-006
35.1563	3.18661e-006
35.5469	4.97593e-006
35.9375	5.40349e-006
36.3281	2.4069e-006
36.7188	3.72634e-006
37.1094	3.53033e-006
37.5	3.95772e-006
37.8906	3.77855e-006
38.2813	7.39749e-006
38.6719	2.55092e-006
39.0625	4.64187e-006
39.4531	4.01924e-006
39.8438	3.39153e-006
40.2344	3.55858e-006
40.625	7.54929e-006
41.0156	6.48917e-006
41.4063	5.69759e-006
41.7969	7.15038e-006
42.1875	5.79936e-006
42.5781	2.67792e-006
42.9688	8.90359e-007
43.3594	8.85456e-007
43.75	6.79062e-007
44.1406	1.06403e-006
44.5313	5.21627e-006
44.9219	3.08342e-006
45.3125	1.93725e-006
45.7031	4.98888e-006
46.0938	1.29773e-005
46.4844	1.00453e-005
46.875	3.84139e-006
47.2656	1.02881e-005
47.6563	9.57182e-006
48.0469	6.27798e-006
48.4375	7.93392e-006
48.8281	9.7079e-006
49.2188	7.94599e-006
49.6094	2.32363e-005
50	3.4214e-005
50.3906	1.15061e-005
50.7813	5.09909e-006
51.1719	4.96649e-006
51.5625	3.58568e-006
51.9531	5.36057e-006
52.3438	7.48976e-006
52.7344	8.27188e-006
53.125	6.68183e-006
53.5156	5.9878e-006
53.9063	6.78868e-006
54.2969	4.57227e-006
54.6875	2.2915e-006
55.0781	1.80135e-006
55.4688	5.48753e-007
55.8594	8.65144e-007
56.25	3.86294e-006
56.6406	2.03868e-006
57.0313	5.11738e-006
57.4219	6.88558e-006
57.8125	4.87125e-006
58.2031	2.32621e-006
58.5938	3.09458e-006
58.9844	2.30641e-006
59.375	2.85343e-006
59.7656	3.16307e-006
60.1563	2.29679e-006
60.5469	2.10154e-006
60.9375	2.25542e-006
61.3281	4.31086e-006
61.7188	3.57913e-006
62.1094	3.77973e-006
62.5	4.36264e-006
62.8906	2.0705e-006
63.2813	2.67388e-006
63.6719	3.498e-006
64.0625	5.54615e-007
64.4531	1.98718e-006
64.8438	2.78904e-006
65.2344	2.71533e-006
65.625	9.90528e-007
66.0156	2.59594e-006
66.4063	4.1973e-006
66.7969	9.26396e-006
67.1875	9.0413e-006
67.5781	1.66021e-006
67.9688	3.20318e-006
68.3594	5.56351e-006
68.75	2.92992e-006
69.1406	2.03884e-006
69.5313	5.27764e-006
69.9219	5.5504e-006
70.3125	2.85167e-006
70.7031	4.02635e-006
71.0938	8.11852e-006
71.4844	9.12809e-006
71.875	6.07921e-006
72.2656	4.21632e-006
72.6563	3.88765e-006
73.0469	5.23936e-006
73.4375	4.58906e-006
73.8281	2.87636e-006
74.2188	3.8358e-006
74.6094	5.02564e-006
75	4.16184e-006
75.3906	4.13129e-006
75.7813	5.12315e-006
76.1719	3.71897e-006
76.5625	3.91542e-006
76.9531	2.58352e-006
77.3438	2.67667e-006
77.7344	4.6439e-006
78.125	5.76839e-007
78.5156	4.86313e-006
78.9063	4.43232e-006
79.2969	4.0294e-006
