	S:1
Hz	Magnitude, N
0	0.000370313
0.390625	0.000355317
0.78125	4.55329e-005
1.17188	3.96679e-005
1.5625	2.52177e-005
1.95313	2.55061e-005
2.34375	1.77953e-005
2.73438	1.60728e-005
3.125	1.31193e-005
3.51563	2.57278e-005
3.90625	1.63859e-005
4.29688	1.59934e-005
4.6875	9.47036e-006
5.07813	8.58665e-006
5.46875	1.48886e-005
5.85938	1.17723e-005
6.25	1.03756e-005
6.64063	1.62349e-005
7.03125	1.81659e-005
7.42188	1.57804e-005
7.8125	1.64152e-005
8.20313	1.55936e-005
8.59375	9.28812e-006
8.98438	6.25707e-006
9.375	6.63365e-006
9.76563	8.72294e-006
10.1563	1.13917e-005
10.5469	1.25919e-005
10.9375	5.95147e-006
11.3281	8.13028e-006
11.7188	1.0078e-005
12.1094	1.73438e-005
12.5	1.06127e-005
12.8906	2.59217e-006
13.2813	4.12169e-006
13.6719	8.7522e-006
14.0625	6.24427e-006
14.4531	2.93494e-006
14.8438	7.8531e-006
15.2344	8.52644e-006
15.625	5.99196e-006
16.0156	9.8101e-006
16.4063	1.22717e-005
16.7969	1.42593e-005
17.1875	1.09212e-005
17.5781	4.2953e-006
17.9688	1.42762e-005
18.3594	1.7972e-005
18.75	9.68952e-006
19.1406	2.51842e-006
19.5313	3.11497e-006
19.9219	1.93764e-005
20.3125	2.43466e-005
20.7031	1.20117e-005
21.0938	7.29893e-006
21.4844	5.83581e-006
21.875	5.73617e-006
22.2656	1.47306e-005
22.6563	1.17989e-005
23.0469	5.98394e-006
23.4375	2.80551e-006
23.8281	5.07328e-006
24.2188	3.0257e-006
24.6094	8.7659e-006
25	8.87918e-006
25.3906	3.48447e-006
25.7813	8.37782e-006
26.1719	8.28619e-006
26.5625	3.98959e-006
26.9531	8.11156e-006
27.3438	2.96623e-006
27.7344	9.36975e-006
28.125	3.07703e-006
28.5156	4.25748e-006
28.9063	2.28283e-006
29.2969	6.2218e-006
29.6875	1.6247e-006
30.0781	9.70225e-006
30.4688	5.84899e-006
30.8594	5.05439e-006
31.25	6.75821e-006
31.6406	1.09156e-005
32.0313	1.62345e-005
32.4219	2.003e-005
32.8125	6.51183e-006
33.2031	1.26934e-005
33.5938	1.53233e-005
33.9844	5.55142e-006
34.375	5.12519e-006
34.7656	2.19188e-006
35.1563	7.62775e-006
35.5469	1.17601e-005
35.9375	7.69838e-006
36.3281	6.34227e-006
36.7188	9.81942e-006
37.1094	9.02512e-006
37.5	3.90423e-006
37.8906	8.44576e-006
38.2813	4.62979e-006
38.6719	2.96432e-006
39.0625	4.55664e-006
39.4531	8.85658e-006
39.8438	6.44799e-006
40.2344	7.2836e-006
40.625	2.49504e-006
41.0156	6.68948e-006
41.4063	3.92924e-006
41.7969	5.57372e-006
42.1875	5.13056e-006
42.5781	1.33794e-006
42.9688	6.28554e-006
43.3594	5.72273e-006
43.75	4.26755e-006
44.1406	6.45229e-006
44.5313	6.42492e-006
44.9219	6.03482e-006
45.3125	4.61077e-006
45.7031	3.03543e-006
46.0938	1.43014e-005
46.4844	1.34546e-005
46.875	8.12033e-006
47.2656	2.262e-006
47.6563	3.31846e-006
48.0469	6.41692e-006
48.4375	5.79946e-006
48.8281	3.49387e-006
49.2188	8.72222e-006
49.6094	2.64775e-005
50	3.81255e-005
50.3906	1.32907e-005
50.7813	6.62097e-006
51.1719	9.51673e-006
51.5625	7.31734e-006
51.9531	5.67181e-006
52.3438	6.97426e-006
52.7344	1.10727e-005
53.125	8.40134e-006
53.5156	1.21773e-006
53.9063	2.35746e-006
54.2969	2.07382e-006
54.6875	1.20165e-006
55.0781	1.34502e-006
55.4688	1.68732e-006
55.8594	4.29516e-006
56.25	4.93603e-006
56.6406	1.10351e-006
57.0313	3.49595e-006
57.4219	2.76742e-006
57.8125	1.63974e-006
58.2031	4.58142e-006
58.5938	4.57748e-006
58.9844	2.0855e-006
59.375	5.50775e-006
59.7656	1.25154e-006
60.1563	6.10892e-006
60.5469	6.1183e-006
60.9375	5.07392e-006
61.3281	5.53368e-006
61.7188	6.23642e-007
62.1094	3.86741e-006
62.5	2.66664e-006
62.8906	1.95366e-006
63.2813	5.84894e-007
63.6719	1.04299e-006
64.0625	1.64452e-006
64.4531	2.90406e-006
64.8438	7.21873e-006
65.2344	2.2155e-006
65.625	6.13272e-006
66.0156	3.20476e-006
66.4063	7.31718e-006
66.7969	8.0265e-006
