	S:1
Hz	Magnitude, N
0	0.000305323
0.390625	0.000283424
0.78125	6.29888e-005
1.17188	3.35309e-005
1.5625	5.60304e-006
1.95313	4.19581e-006
2.34375	7.2466e-006
2.73438	1.84683e-005
3.125	1.90904e-005
3.51563	1.39171e-005
3.90625	1.11365e-005
4.29688	1.18626e-005
4.6875	2.04712e-005
5.07813	2.70315e-005
5.46875	2.62027e-005
5.85938	2.34679e-005
6.25	4.05139e-006
6.64063	2.2356e-006
7.03125	1.27655e-005
7.42188	1.6944e-005
7.8125	3.70355e-006
8.20313	1.17599e-005
8.59375	1.43922e-005
8.98438	3.52461e-005
9.375	3.54447e-005
9.76563	3.08201e-005
10.1563	2.51651e-005
10.5469	3.98256e-006
10.9375	3.04777e-005
11.3281	4.04875e-005
11.7188	1.93126e-005
12.1094	1.65031e-005
12.5	1.0344e-005
12.8906	4.85948e-006
13.2813	5.1249e-006
13.6719	9.63286e-006
14.0625	3.85846e-006
14.4531	4.31683e-006
14.8438	6.46094e-006
15.2344	1.40683e-006
15.625	1.47392e-005
16.0156	1.17053e-005
16.4063	5.11649e-006
16.7969	7.30569e-006
17.1875	7.90436e-006
17.5781	1.32315e-005
17.9688	1.38372e-005
18.3594	7.1871e-006
18.75	5.92842e-006
19.1406	5.34776e-006
19.5313	3.4144e-006
19.9219	2.65923e-006
20.3125	8.45918e-006
20.7031	1.11423e-005
21.0938	5.22082e-006
21.4844	5.95997e-006
21.875	1.67299e-005
22.2656	1.16767e-005
22.6563	6.17174e-006
23.0469	1.33068e-005
23.4375	7.94245e-006
23.8281	7.25967e-006
24.2188	1.13514e-005
24.6094	6.54606e-006
25	5.539e-006
25.3906	1.40017e-005
25.7813	6.01831e-006
26.1719	4.705e-006
26.5625	4.36058e-006
26.9531	7.64946e-006
27.3438	1.81617e-005
27.7344	1.37755e-005
28.125	5.66758e-006
28.5156	6.00238e-006
28.9063	6.12505e-006
29.2969	2.66646e-006
29.6875	8.50933e-006
30.0781	1.42755e-005
30.4688	9.58048e-006
30.8594	2.64602e-006
