	S:1
Hz	Magnitude, N
0	0.000634246
0.390625	0.000685586
0.78125	6.61025e-005
1.17188	4.40325e-006
1.5625	6.26e-006
1.95313	1.80806e-005
2.34375	3.8114e-006
2.73438	5.24484e-006
3.125	9.83039e-006
3.51563	8.64242e-006
3.90625	5.15871e-006
4.29688	1.09824e-005
4.6875	1.8024e-005
5.07813	1.36634e-005
5.46875	1.03661e-005
5.85938	5.46991e-006
6.25	1.49134e-005
6.64063	9.96592e-006
7.03125	5.29685e-006
7.42188	1.32283e-005
7.8125	1.33406e-005
8.20313	8.80881e-006
8.59375	1.59558e-006
8.98438	1.34845e-005
9.375	2.14971e-005
9.76563	1.68608e-005
10.1563	5.44214e-006
10.5469	9.48035e-006
10.9375	5.07397e-006
11.3281	4.38891e-006
11.7188	3.97974e-006
12.1094	1.32813e-005
12.5	6.62448e-006
12.8906	6.50574e-006
13.2813	1.21967e-005
13.6719	1.20304e-005
14.0625	3.97414e-006
14.4531	3.70656e-006
14.8438	5.97877e-006
15.2344	1.53272e-005
15.625	1.01726e-005
16.0156	1.76471e-006
16.4063	3.32028e-006
16.7969	1.76749e-006
17.1875	5.14762e-006
17.5781	8.17564e-007
17.9688	1.82902e-006
18.3594	1.00122e-005
18.75	1.10412e-005
19.1406	3.1115e-006
19.5313	5.25691e-007
19.9219	6.96205e-006
20.3125	9.73544e-006
20.7031	8.80982e-006
21.0938	8.37049e-006
21.4844	9.23546e-007
21.875	2.58758e-005
22.2656	4.73401e-005
22.6563	2.45946e-005
23.0469	4.91651e-006
23.4375	8.82779e-006
23.8281	1.19305e-005
24.2188	1.60573e-005
24.6094	9.07306e-006
25	7.92816e-007
25.3906	9.29192e-006
25.7813	6.59112e-006
26.1719	6.71656e-006
26.5625	1.90992e-006
26.9531	3.29358e-006
27.3438	5.89775e-006
27.7344	7.95538e-006
28.125	6.96238e-006
28.5156	8.64808e-006
28.9063	4.79972e-006
29.2969	6.46887e-007
29.6875	5.45263e-006
30.0781	8.71188e-006
30.4688	7.00806e-006
30.8594	2.6594e-006
31.25	4.50985e-006
31.6406	6.08867e-006
32.0313	4.58107e-006
32.4219	1.63376e-005
32.8125	1.01489e-005
33.2031	8.32242e-006
33.5938	1.19076e-005
33.9844	1.02126e-005
34.375	4.27872e-006
34.7656	3.80501e-006
35.1563	4.98326e-006
35.5469	5.51576e-006
35.9375	6.6013e-006
36.3281	9.08651e-006
36.7188	6.61706e-006
37.1094	8.57419e-006
37.5	9.39145e-006
37.8906	1.1569e-005
38.2813	5.15949e-006
38.6719	5.56222e-006
39.0625	3.81709e-006
39.4531	6.6588e-006
39.8438	6.37806e-006
40.2344	6.86556e-006
40.625	4.68199e-006
41.0156	5.0274e-006
41.4063	7.3551e-006
41.7969	7.94924e-006
42.1875	3.46757e-006
42.5781	3.47012e-006
42.9688	3.54373e-006
43.3594	1.68213e-006
43.75	3.40512e-006
44.1406	3.86776e-007
44.5313	4.7128e-006
44.9219	7.22603e-006
45.3125	6.41177e-006
45.7031	4.92602e-006
46.0938	8.89973e-006
46.4844	5.07702e-006
46.875	3.9317e-006
47.2656	2.36155e-006
47.6563	2.08368e-006
48.0469	3.84836e-006
48.4375	2.23197e-006
48.8281	1.19371e-006
49.2188	1.03051e-005
49.6094	3.88361e-005
50	9.54298e-005
50.3906	5.27991e-005
50.7813	3.32132e-006
51.1719	5.28377e-006
51.5625	1.57767e-006
51.9531	2.71313e-006
52.3438	3.97831e-006
52.7344	5.7445e-006
53.125	5.35495e-006
53.5156	1.99429e-006
53.9063	3.36783e-006
54.2969	4.56694e-006
54.6875	5.36933e-006
55.0781	4.10399e-006
55.4688	1.74489e-006
55.8594	4.89903e-006
56.25	1.57134e-006
56.6406	2.24867e-006
57.0313	3.27899e-006
57.4219	6.85496e-006
57.8125	4.71082e-006
58.2031	2.3275e-006
58.5938	1.44055e-006
58.9844	7.68987e-007
59.375	5.41154e-006
59.7656	5.0811e-006
60.1563	2.72843e-006
60.5469	1.86536e-006
60.9375	1.88075e-006
61.3281	5.07093e-006
61.7188	5.83694e-006
62.1094	3.21222e-006
62.5	3.47554e-006
62.8906	5.31115e-006
63.2813	4.4095e-006
63.6719	1.87488e-006
64.0625	4.48253e-006
64.4531	3.03504e-006
64.8438	2.04025e-006
65.2344	1.83514e-006
65.625	1.0246e-006
66.0156	1.18884e-006
66.4063	4.42481e-006
66.7969	6.07345e-006
67.1875	3.42496e-006
67.5781	9.29509e-007
67.9688	1.11882e-006
68.3594	4.79347e-006
68.75	4.77824e-006
69.1406	2.17923e-006
69.5313	4.44218e-006
69.9219	5.17689e-006
70.3125	3.69041e-006
70.7031	1.99568e-006
71.0938	4.53197e-006
71.4844	2.53788e-006
71.875	1.00487e-006
72.2656	5.18621e-006
72.6563	4.61791e-006
73.0469	1.73096e-006
73.4375	5.93395e-007
73.8281	9.06116e-006
74.2188	7.60746e-006
74.6094	2.47439e-006
75	7.53921e-006
75.3906	7.30526e-006
75.7813	5.36933e-006
76.1719	4.29571e-006
76.5625	4.23533e-006
76.9531	5.93864e-006
77.3438	8.13797e-006
77.7344	8.80224e-006
78.125	4.01465e-006
78.5156	3.74469e-006
78.9063	5.9177e-006
79.2969	4.15136e-006
79.6875	1.01272e-006
80.0781	3.47726e-007
80.4688	2.1809e-006
80.8594	2.41552e-006
81.25	3.01025e-006
81.6406	3.09702e-006
82.0313	5.40829e-006
82.4219	2.36349e-006
82.8125	7.35547e-006
83.2031	6.80823e-006
83.5938	5.03928e-006
83.9844	5.35442e-006
84.375	7.07034e-006
84.7656	6.81719e-006
85.1563	2.29972e-006
85.5469	3.63237e-006
85.9375	4.33278e-006
86.3281	3.74638e-006
86.7188	4.30538e-006
87.1094	4.90202e-006
87.5	1.87596e-006
87.8906	4.09113e-006
88.2813	1.90898e-006
88.6719	1.73383e-006
89.0625	2.75301e-006
89.4531	3.55021e-006
89.8438	1.33169e-006
90.2344	9.21626e-007
90.625	1.46713e-006
91.0156	4.52976e-006
91.4063	5.96351e-006
91.7969	7.22625e-006
92.1875	7.38147e-006
92.5781	3.17678e-006
92.9688	1.82714e-006
93.3594	2.06894e-006
93.75	2.89561e-006
94.1406	4.57018e-006
94.5313	3.46786e-006
94.9219	5.93974e-006
95.3125	4.27586e-006
95.7031	5.29962e-006
96.0938	4.6413e-006
96.4844	3.0491e-006
96.875	5.42363e-006
97.2656	4.82035e-006
97.6563	1.08024e-005
98.0469	8.23082e-006
98.4375	1.98266e-005
98.8281	4.71531e-005
99.2188	0.000168652
99.6094	0.00260906
100	0.00721714
100.391	0.00483487
100.781	0.000353331
101.172	7.61081e-005
101.563	2.8258e-005
101.953	1.38779e-005
102.344	6.19459e-006
