	X:1
sec	Real, N
0	0.0157336
0.0003125	-0.000422419
0.000625	0.00480451
0.0009375	0.00764365
0.00125	0.00313571
0.0015625	-0.00529145
0.001875	-0.00906561
0.0021875	-0.015418
0.0025	-0.0204306
0.0028125	-0.0150278
0.003125	-0.00591293
0.0034375	-0.00434101
0.00375	-0.0041677
0.0040625	0.00192096
0.004375	0.00485601
0.0046875	0.00173295
0.005	-0.0015976
0.0053125	-0.00122518
0.005625	-0.00192945
0.0059375	-0.00273779
0.00625	0.000638837
0.0065625	0.00527866
0.006875	0.00706924
0.0071875	0.00761503
0.0075	0.0118644
0.0078125	0.0172507
0.008125	0.0126562
0.0084375	0.0121633
0.00875	0.0135757
0.0090625	0.0126557
0.009375	0.00350683
0.0096875	-0.00795706
0.01	-0.0137855
0.0103125	-0.0128085
0.010625	-0.0117073
0.0109375	-0.00802876
0.01125	-0.00296884
0.0115625	-0.000512287
0.011875	0.0024492
0.0121875	0.00550619
0.0125	0.00250748
0.0128125	0.00114923
0.013125	-0.00141016
0.0134375	-0.00372741
0.01375	-0.0076768
0.0140625	-0.0127809
0.014375	-0.0140347
0.0146875	-0.0118327
0.015	-0.0067166
0.0153125	-0.00255299
0.015625	0.00233056
0.0159375	0.00969244
0.01625	0.0136727
0.0165625	0.0139161
0.016875	0.0144277
0.0171875	0.014793
0.0175	0.0122027
0.0178125	0.00538999
0.018125	-0.00706779
0.0184375	-0.00634668
0.01875	-0.00415765
0.0190625	-0.00349449
0.019375	0.00236575
0.0196875	0.0186714
0.02	0.0149972
0.0203125	-0.000606359
0.020625	0.00509592
0.0209375	0.00747059
0.02125	0.00261679
0.0215625	-0.00517846
0.021875	-0.00939533
0.0221875	-0.015854
0.0225	-0.0206885
0.0228125	-0.0146072
0.023125	-0.00599035
0.0234375	-0.0046378
0.02375	-0.00368477
0.0240625	0.00257119
0.024375	0.00467152
0.0246875	0.00135664
0.025	-0.0016985
0.0253125	-0.00135295
0.025625	-0.00203164
0.0259375	-0.00287137
0.02625	0.000921017
0.0265625	0.00536977
0.026875	0.00724238
0.0271875	0.00747833
0.0275	0.0125636
0.0278125	0.0168608
0.028125	0.0123149
