	S:1
Hz	Magnitude, N
0	0.000228106
0.390625	0.000235251
0.78125	6.45464e-005
1.17188	5.97855e-005
1.5625	2.60927e-005
1.95313	1.36766e-005
2.34375	3.97522e-006
2.73438	4.56909e-006
3.125	5.4663e-006
3.51563	6.69069e-006
3.90625	2.08831e-006
4.29688	1.4052e-005
4.6875	1.63209e-005
5.07813	4.60701e-006
5.46875	1.07434e-005
5.85938	1.23627e-005
6.25	7.73749e-006
6.64063	1.97557e-005
7.03125	3.11084e-005
7.42188	1.10195e-005
7.8125	3.01435e-006
8.20313	7.31197e-006
8.59375	2.65098e-005
8.98438	3.11152e-005
9.375	2.80475e-005
9.76563	9.31019e-006
10.1563	2.06729e-005
10.5469	2.62951e-005
10.9375	2.9277e-005
11.3281	1.50578e-005
11.7188	1.1937e-005
12.1094	1.96266e-005
12.5	1.86141e-005
12.8906	9.09243e-006
13.2813	8.22562e-006
13.6719	1.50453e-005
14.0625	2.01496e-005
14.4531	1.80576e-005
14.8438	6.53729e-006
15.2344	1.44356e-005
15.625	1.39942e-005
16.0156	9.36656e-006
16.4063	5.75648e-006
16.7969	7.5676e-006
17.1875	6.06462e-006
17.5781	6.74095e-007
17.9688	1.66639e-006
18.3594	1.67607e-006
18.75	7.16108e-006
19.1406	8.30907e-006
19.5313	7.03841e-006
19.9219	6.31613e-006
20.3125	6.45205e-006
20.7031	9.62672e-006
21.0938	6.83081e-006
21.4844	1.20314e-005
21.875	2.05773e-005
22.2656	1.57933e-005
22.6563	3.38933e-006
23.0469	1.17066e-006
23.4375	4.53373e-006
23.8281	1.05365e-005
24.2188	2.51956e-005
24.6094	1.93764e-005
25	4.68214e-006
25.3906	1.46544e-006
25.7813	8.63012e-006
26.1719	4.90197e-006
26.5625	5.34416e-006
26.9531	8.59363e-006
27.3438	9.01916e-006
27.7344	9.48173e-006
28.125	3.99809e-006
28.5156	5.39359e-006
28.9063	2.86532e-006
29.2969	1.06791e-005
29.6875	1.94342e-005
30.0781	1.60392e-005
30.4688	6.22788e-006
30.8594	2.72342e-006
31.25	2.75407e-006
31.6406	7.88034e-007
32.0313	1.23704e-005
32.4219	1.40851e-005
32.8125	1.40857e-005
33.2031	9.29331e-006
33.5938	9.79511e-006
33.9844	1.42083e-005
34.375	8.98046e-006
34.7656	2.20595e-005
35.1563	1.39582e-005
35.5469	1.09641e-006
35.9375	9.19191e-006
36.3281	8.8282e-006
36.7188	1.45977e-006
37.1094	4.9016e-006
37.5	7.59865e-007
37.8906	8.07051e-006
38.2813	7.21512e-006
38.6719	5.47645e-006
39.0625	3.15235e-006
39.4531	3.80123e-006
39.8438	7.87499e-006
40.2344	7.82699e-006
40.625	1.02401e-006
41.0156	4.85398e-006
41.4063	3.43768e-006
41.7969	5.64912e-006
42.1875	5.39007e-006
42.5781	2.57207e-006
42.9688	5.49383e-006
43.3594	3.1525e-006
43.75	4.36695e-006
44.1406	6.48446e-006
44.5313	8.08086e-006
44.9219	1.16241e-005
45.3125	1.09506e-005
45.7031	9.12154e-006
46.0938	9.11962e-006
46.4844	3.32419e-006
46.875	1.59235e-006
47.2656	5.11373e-006
47.6563	5.5078e-006
48.0469	4.10914e-007
48.4375	2.50382e-006
48.8281	1.90871e-006
49.2188	4.93365e-006
49.6094	5.73509e-006
50	7.03079e-006
50.3906	4.29628e-006
50.7813	9.22312e-006
51.1719	6.01021e-006
51.5625	2.53025e-006
51.9531	6.553e-006
52.3438	3.06202e-006
52.7344	2.58799e-006
53.125	3.92227e-006
53.5156	3.98979e-006
53.9063	4.40731e-006
54.2969	3.33404e-006
54.6875	1.07612e-006
55.0781	3.97778e-006
55.4688	1.37016e-007
55.8594	5.60123e-006
56.25	7.15831e-006
56.6406	5.59091e-006
57.0313	3.32861e-006
57.4219	2.87798e-006
57.8125	4.06785e-006
58.2031	4.9388e-006
58.5938	8.26661e-007
58.9844	2.97163e-006
59.375	3.69581e-006
59.7656	3.00389e-006
60.1563	5.73383e-006
60.5469	5.73389e-006
60.9375	2.32564e-006
61.3281	2.63357e-006
61.7188	4.51161e-006
62.1094	5.7836e-006
62.5	5.31156e-006
62.8906	2.14677e-006
63.2813	2.0929e-006
63.6719	4.39252e-006
64.0625	3.82496e-006
64.4531	2.71461e-006
64.8438	2.25804e-006
65.2344	3.88384e-006
65.625	1.99476e-006
66.0156	2.16082e-006
66.4063	4.67334e-006
66.7969	6.09054e-006
67.1875	2.18088e-006
67.5781	2.97503e-006
67.9688	4.76268e-006
68.3594	6.07899e-006
68.75	5.35921e-006
69.1406	3.42892e-006
69.5313	3.3914e-006
69.9219	3.87069e-006
70.3125	1.25955e-006
70.7031	3.58741e-006
71.0938	2.75793e-006
71.4844	4.25854e-006
71.875	1.75343e-006
72.2656	4.2494e-006
72.6563	6.25174e-006
73.0469	6.53525e-006
73.4375	3.00254e-006
73.8281	7.03219e-006
74.2188	4.58082e-006
74.6094	6.6679e-006
75	2.35808e-006
75.3906	2.02932e-006
75.7813	1.74216e-006
76.1719	3.93074e-006
76.5625	2.44216e-006
76.9531	2.69261e-006
77.3438	4.4654e-006
77.7344	3.71386e-006
78.125	4.76297e-006
78.5156	5.91881e-006
78.9063	2.81265e-006
79.2969	6.48349e-006
79.6875	6.31933e-006
80.0781	4.62832e-006
80.4688	4.55823e-006
80.8594	2.92244e-006
81.25	6.04934e-007
81.6406	5.90795e-006
82.0313	6.43889e-006
82.4219	8.36056e-006
82.8125	1.06323e-005
83.2031	7.2062e-006
83.5938	4.08462e-006
83.9844	1.26549e-006
84.375	4.81877e-006
84.7656	3.53053e-006
85.1563	2.4512e-006
85.5469	2.0441e-006
85.9375	3.19163e-006
86.3281	5.77467e-006
86.7188	5.70863e-006
87.1094	1.2539e-006
87.5	3.19647e-006
87.8906	5.33958e-006
88.2813	7.70109e-006
88.6719	1.03886e-005
89.0625	7.15035e-006
89.4531	3.75094e-006
89.8438	2.72574e-006
90.2344	1.44846e-006
90.625	4.3969e-006
91.0156	5.94673e-006
91.4063	2.96114e-006
91.7969	3.78477e-006
92.1875	3.82946e-006
92.5781	2.22864e-006
92.9688	3.1794e-006
93.3594	2.21038e-006
93.75	2.41622e-007
94.1406	4.51723e-006
94.5313	4.8655e-006
94.9219	5.09825e-006
95.3125	2.63063e-006
95.7031	3.73714e-006
96.0938	5.95414e-006
96.4844	6.60791e-006
96.875	2.22737e-006
97.2656	2.05763e-006
97.6563	3.565e-006
98.0469	3.20745e-006
98.4375	3.57496e-006
98.8281	5.09939e-006
99.2188	3.5514e-006
99.6094	0.000126546
100	0.000257387
100.391	0.000132535
100.781	3.14864e-006
101.172	1.64281e-006
101.563	4.77841e-006
101.953	2.98498e-006
102.344	1.57749e-006
102.734	1.09341e-006
103.125	1.56421e-006
103.516	3.94284e-006
103.906	5.79156e-006
104.297	2.2777e-006
104.688	1.40326e-006
105.078	1.04575e-006
105.469	2.21553e-006
105.859	2.75448e-006
106.25	3.61699e-006
106.641	3.55316e-006
107.031	2.19352e-006
107.422	1.5152e-006
107.813	5.50528e-006
108.203	4.23627e-006
108.594	3.64173e-006
108.984	5.80208e-006
109.375	4.39638e-006
109.766	2.65905e-006
110.156	9.70634e-007
110.547	4.6173e-006
110.938	6.9169e-006
111.328	4.81745e-006
111.719	5.8057e-007
112.109	3.3865e-006
112.5	5.29612e-006
112.891	5.41836e-006
113.281	4.28496e-006
113.672	3.0034e-006
114.063	4.6989e-006
114.453	6.90022e-006
114.844	6.43309e-006
115.234	3.11712e-006
115.625	3.13033e-006
116.016	9.4722e-007
116.406	1.96128e-006
116.797	4.62183e-006
117.188	7.55539e-006
117.578	8.88971e-006
117.969	5.36523e-006
118.359	1.66565e-006
118.75	2.6535e-006
119.141	6.44013e-006
119.531	7.64514e-006
119.922	5.85469e-006
120.313	1.22649e-006
120.703	1.61373e-006
121.094	3.72398e-006
121.484	7.20135e-006
121.875	7.27328e-006
122.266	3.51096e-006
122.656	1.0174e-006
123.047	4.19457e-006
123.438	5.31151e-006
123.828	8.74525e-006
