	X:1
sec	Real, N
0	-2.82218e-005
0.0003125	-0.00417415
0.000625	-0.0183897
0.0009375	-0.0213595
0.00125	-0.0153779
0.0015625	-0.00790177
0.001875	-0.00756175
0.0021875	-0.00152961
0.0025	0.00901166
0.0028125	0.00930236
0.003125	0.0017232
0.0034375	0.001663
0.00375	0.00287331
0.0040625	-0.000461207
0.004375	-0.00267393
0.0046875	-0.000190578
0.005	-0.00321614
0.0053125	0.000920569
0.005625	0.00314754
0.0059375	0.0209779
0.00625	0.0284243
0.0065625	0.0160504
0.006875	0.00924306
0.0071875	-0.00593277
0.0075	0.00225031
0.0078125	0.00911802
0.008125	0.0147221
0.0084375	-0.047477
0.00875	-0.0125808
0.0090625	0.000832604
0.009375	0.0153518
0.0096875	0.01346
0.01	-0.000562122
0.0103125	-0.00298993
0.010625	-0.0155982
0.0109375	-0.021421
0.01125	-0.0170308
0.0115625	-0.00840494
0.011875	-0.00704601
0.0121875	-0.00346362
0.0125	0.00765039
0.0128125	0.0107275
0.013125	0.00302103
0.0134375	0.000966256
0.01375	0.00286582
0.0140625	0.000172367
0.014375	-0.0035569
0.0146875	-0.000920375
0.015	-0.0047064
0.0153125	0.00130454
0.015625	0.00144947
0.0159375	0.0260946
0.01625	0.0250386
0.0165625	0.0172665
0.016875	0.00433337
0.0171875	-0.00313662
0.0175	0.0018539
0.0178125	0.018311
0.018125	0.00146687
0.0184375	-0.0475889
0.01875	-0.00735351
0.0190625	0.00109558
0.019375	0.0171289
0.0196875	0.0105867
0.02	-0.000287814
0.0203125	-0.00436634
0.020625	-0.0183145
0.0209375	-0.0215986
0.02125	-0.0153715
0.0215625	-0.00803332
0.021875	-0.00743104
0.0221875	-0.00136682
0.0225	0.00917901
0.0228125	0.00905358
0.023125	0.00174261
0.0234375	0.00159361
0.02375	0.00288271
0.0240625	-0.000740851
0.024375	-0.00285539
0.0246875	-6.2226e-005
0.025	-0.00347699
0.0253125	0.0010723
0.025625	0.00316841
0.0259375	0.0213576
0.02625	0.028124
0.0265625	0.0152302
0.026875	0.00942117
0.0271875	-0.00597312
0.0275	0.0019079
0.0278125	0.0100644
0.028125	0.0139588
0.0284375	-0.0477935
0.02875	-0.0117227
0.0290625	0.000859099
0.029375	0.0157894
0.0296875	0.0130008
0.03	-0.000845379
0.0303125	-0.00288273
0.030625	-0.0163185
0.0309375	-0.0215873
0.03125	-0.0167558
0.0315625	-0.00817591
0.031875	-0.00715157
0.0321875	-0.00354732
0.0325	0.00772336
0.0328125	0.0106124
0.033125	0.00319147
0.0334375	0.00115548
0.03375	0.00294509
0.0340625	0.000177456
0.034375	-0.00328058
0.0346875	-0.000863545
0.035	-0.00475393
0.0353125	0.00153322
0.035625	0.00118892
0.0359375	0.0263928
0.03625	0.0245741
0.0365625	0.0173923
0.036875	0.00408699
0.0371875	-0.00320168
0.0375	0.00162126
0.0378125	0.0189154
0.038125	0.00068526
0.0384375	-0.0474993
0.03875	-0.00666173
0.0390625	0.00134118
0.039375	0.0170666
0.0396875	0.0102206
