	X:1
sec	Real, N
0	1.75851e-005
0.0003125	6.04359e-005
0.000625	0.00017716
0.0009375	7.71607e-005
0.00125	-0.000181756
0.0015625	0.000353357
0.001875	-1.58434e-005
0.0021875	0.000199988
0.0025	5.08877e-005
0.0028125	-2.50563e-005
0.003125	-7.59879e-005
0.0034375	-0.000343648
0.00375	-0.000194708
0.0040625	-0.000258207
0.004375	-0.000156408
0.0046875	-8.10262e-005
0.005	0.000384735
0.0053125	0.000184039
0.005625	0.000376386
0.0059375	0.000438787
0.00625	0.000319678
0.0065625	0.000552308
0.006875	0.000754311
0.0071875	0.000565693
0.0075	0.000540525
0.0078125	0.000377309
0.008125	0.000303777
0.0084375	0.00029139
0.00875	0.000102395
0.0090625	-0.000203465
0.009375	0.000166662
0.0096875	3.20529e-005
0.01	0.000109731
0.0103125	0.000152029
0.010625	0.000137712
0.0109375	0.000198963
0.01125	0.000240939
0.0115625	0.000196062
0.011875	0.000125234
0.0121875	0.000426889
0.0125	9.86129e-005
0.0128125	-0.000115669
0.013125	-0.000270429
0.0134375	0.000277502
0.01375	-0.000177708
0.0140625	0.000104667
0.014375	0.000222874
0.0146875	-6.83719e-005
0.015	8.2631e-005
0.0153125	0.00020585
0.015625	0.000345623
0.0159375	0.000673707
0.01625	0.000630852
0.0165625	0.000920218
0.016875	0.000588866
0.0171875	0.000730025
0.0175	0.000479403
0.0178125	0.000618968
0.018125	0.000839002
0.0184375	0.000455153
0.01875	0.000352665
0.0190625	0.000346949
0.019375	0.000448526
0.0196875	7.24773e-005
0.02	0.000207556
0.0203125	0.000205914
0.020625	0.000100924
0.0209375	0.000339614
0.02125	-0.000119019
0.0215625	0.000125295
0.021875	1.73333e-005
0.0221875	-5.96094e-005
0.0225	1.30348e-005
0.0228125	0.000102692
0.023125	-1.39236e-005
0.0234375	-0.000273707
0.02375	-0.000248949
0.0240625	-0.000108617
0.024375	-6.23188e-005
0.0246875	-0.000135094
0.025	0.000310203
0.0253125	0.000155583
0.025625	0.000356242
0.0259375	0.000573983
0.02625	0.000666927
0.0265625	0.000699151
0.026875	0.000690219
0.0271875	0.000670958
0.0275	0.000539446
0.0278125	0.000604379
0.028125	0.000422746
0.0284375	0.000474175
0.02875	9.84811e-005
0.0290625	0.000170951
0.029375	-7.12838e-005
0.0296875	-0.000210013
0.03	-5.24354e-005
0.0303125	-0.000163156
0.030625	0.000181438
0.0309375	0.000311358
0.03125	0.000187489
0.0315625	0.000283262
0.031875	0.00041096
0.0321875	0.000222387
0.0325	5.9897e-005
0.0328125	0.000114972
0.033125	8.1602e-005
0.0334375	1.99843e-005
0.03375	-0.000184384
0.0340625	-2.19476e-005
0.034375	-9.18822e-005
0.0346875	3.65163e-005
0.035	0.000118581
0.0353125	0.000316261
0.035625	0.000538725
0.0359375	0.000520132
0.03625	0.00054205
0.0365625	0.000511215
0.036875	0.00057463
0.0371875	0.000597101
0.0375	0.000729766
0.0378125	0.00069426
0.038125	0.000234552
0.0384375	0.000270671
0.03875	0.000485813
0.0390625	0.000432664
0.039375	0.000133196
0.0396875	9.57797e-006
0.04	0.000404286
0.0403125	0.000210719
0.040625	0.000326955
0.0409375	0.000376417
0.04125	9.49852e-005
0.0415625	7.86225e-005
0.041875	0.000253794
0.0421875	-2.23696e-005
0.0425	6.40603e-005
0.0428125	5.59893e-005
0.043125	-3.96138e-005
0.0434375	2.96819e-005
0.04375	-0.000408442
0.0440625	-0.000176734
0.044375	9.24523e-005
0.0446875	0.000168995
0.045	0.000142583
0.0453125	0.000470975
0.045625	0.000591123
0.0459375	0.000520277
0.04625	0.00100614
0.0465625	0.000536895
0.046875	0.000663316
0.0471875	0.000712466
0.0475	0.000573797
0.0478125	0.000306817
0.048125	0.00056439
0.0484375	0.000465422
0.04875	0.000192376
0.0490625	0.000271943
0.049375	-0.000260266
0.0496875	-5.56588e-005
0.05	0.000151224
0.0503125	3.6893e-006
0.050625	5.74912e-005
0.0509375	0.000334281
0.05125	0.000317399
0.0515625	0.000221753
0.051875	0.000180182
0.0521875	0.000177197
0.0525	0.000276623
0.0528125	0.000257437
0.053125	1.07715e-005
0.0534375	-0.000198701
0.05375	-0.000196924
0.0540625	-5.51805e-005
0.054375	0.000110039
0.0546875	0.000152223
0.055	0.000264244
0.0553125	0.00046591
0.055625	0.000379824
0.0559375	0.000563799
0.05625	0.000541337
0.0565625	0.000671566
0.056875	0.000806511
0.0571875	0.000598473
0.0575	0.000492837
0.0578125	0.00068849
0.058125	0.000546905
0.0584375	0.000596929
0.05875	0.000337308
0.0590625	0.000207599
0.059375	0.000259779
0.0596875	0.000157761
0.06	0.000325264
0.0603125	0.000205429
0.060625	0.000202709
0.0609375	4.5543e-005
0.06125	0.000227373
0.0615625	0.000307735
0.061875	0.000230847
0.0621875	-7.01847e-005
0.0625	0.000144143
0.0628125	-0.000178708
0.063125	-0.000149201
0.0634375	-0.000289528
0.06375	4.8163e-005
0.0640625	0.000305779
0.064375	5.48789e-005
0.0646875	0.000171933
0.065	0.000289
0.0653125	0.000313714
0.065625	0.000512201
0.0659375	0.000762496
0.06625	0.000521553
0.0665625	0.000796295
0.066875	0.000766841
0.0671875	0.000693881
0.0675	0.000684661
0.0678125	0.00061379
0.068125	0.000698388
0.0684375	0.000434457
0.06875	0.000254839
0.0690625	0.000381462
0.069375	0.000253732
0.0696875	0.000236571
0.07	7.9521e-005
0.0703125	0.000172517
0.070625	1.37999e-005
0.0709375	0.00024393
0.07125	0.000336693
0.0715625	0.000238567
0.071875	0.000299669
0.0721875	0.000226789
0.0725	0.000119345
0.0728125	5.84567e-005
0.073125	-5.62451e-005
0.0734375	-6.59459e-005
0.07375	-0.000147389
0.0740625	-0.000150978
0.074375	2.27151e-005
0.0746875	-3.85623e-005
0.075	0.000207006
0.0753125	0.000605314
0.075625	0.000415689
0.0759375	0.000477002
0.07625	0.000466489
0.0765625	0.000443266
0.076875	0.00114065
0.0771875	0.000678681
0.0775	0.000748536
0.0778125	0.000566338
0.078125	0.000336506
0.0784375	0.000774814
0.07875	0.00033045
0.0790625	0.00028063
0.079375	0.000101356
0.0796875	0.000155648
0.08	0.000223391
0.0803125	-3.70874e-005
0.080625	9.28177e-006
0.0809375	0.000247218
0.08125	0.00035246
0.0815625	0.000230436
0.081875	0.000361928
0.0821875	0.000235516
0.0825	5.10829e-005
0.0828125	-0.000194117
0.083125	-0.000130035
0.0834375	-0.00028392
0.08375	-0.000140909
0.0840625	-0.000166338
0.084375	-0.000114906
0.0846875	-0.00016543
0.085	9.27923e-005
0.0853125	0.000469331
0.085625	0.000602318
0.0859375	0.000693865
0.08625	0.000500339
0.0865625	0.000758063
0.086875	0.000622847
0.0871875	0.000610833
0.0875	0.000626618
0.0878125	0.000399196
0.088125	0.000654829
0.0884375	0.00041897
0.08875	0.000442151
0.0890625	0.000465242
0.089375	8.76462e-005
0.0896875	0.000221655
0.09	6.16155e-005
0.0903125	9.2262e-005
0.090625	0.000204364
0.0909375	0.00012501
0.09125	0.000488141
0.0915625	0.000170697
0.091875	0.000150228
0.0921875	0.000105297
0.0925	0.000172884
0.0928125	0.000233869
0.093125	0.000294964
0.0934375	-0.000175778
0.09375	-8.05649e-005
0.0940625	9.68007e-005
0.094375	0.000126369
0.0946875	0.000106117
0.095	9.46611e-008
0.0953125	7.66319e-005
0.095625	0.000361595
0.0959375	0.000591883
0.09625	0.000442546
0.0965625	0.000725086
0.096875	0.000800425
0.0971875	0.000462626
0.0975	0.000441837
0.0978125	0.000489639
0.098125	0.000249042
0.0984375	0.000419133
0.09875	0.000200033
0.0990625	0.000238771
0.099375	0.000103514
0.0996875	7.37878e-005
0.1	4.11101e-005
0.100313	-3.31679e-005
0.100625	0.000122874
0.100938	0.00021339
0.10125	2.84869e-005
0.101563	-0.000117337
