	S:1
Hz	Magnitude, N
0	0.000209153
0.390625	0.000470117
0.78125	0.000257564
1.17188	6.60038e-005
1.5625	8.93947e-005
1.95313	6.37327e-005
2.34375	4.03529e-005
2.73438	3.08075e-005
3.125	1.79062e-005
3.51563	2.1189e-005
3.90625	1.28396e-005
4.29688	7.3924e-006
4.6875	3.19799e-006
5.07813	8.61374e-006
5.46875	1.16567e-006
5.85938	1.59973e-005
6.25	1.67744e-005
6.64063	8.99398e-006
7.03125	7.24059e-006
7.42188	5.14658e-006
7.8125	6.58306e-006
8.20313	1.57271e-005
8.59375	1.09348e-005
8.98438	1.52915e-005
9.375	2.24578e-005
9.76563	9.06932e-006
10.1563	5.23454e-006
10.5469	1.50506e-005
10.9375	1.88517e-005
11.3281	8.19657e-006
11.7188	4.98373e-006
12.1094	9.09224e-006
12.5	1.24755e-005
12.8906	1.41051e-005
13.2813	1.06794e-005
13.6719	7.60003e-006
14.0625	4.62187e-006
14.4531	1.43709e-005
14.8438	9.83641e-006
15.2344	1.44959e-006
15.625	6.51106e-006
16.0156	6.59678e-006
16.4063	4.51105e-006
16.7969	5.73186e-006
17.1875	8.31721e-006
17.5781	1.04335e-005
17.9688	4.74366e-006
18.3594	7.24891e-006
18.75	6.34085e-006
19.1406	1.05091e-005
19.5313	9.66981e-006
19.9219	2.94776e-006
20.3125	3.46762e-006
20.7031	9.81791e-006
21.0938	1.22409e-005
21.4844	5.39101e-006
21.875	1.13118e-005
22.2656	9.55524e-006
22.6563	6.71199e-006
23.0469	3.11865e-006
23.4375	1.02645e-005
23.8281	4.64943e-006
24.2188	1.2928e-005
24.6094	1.45775e-005
25	5.70874e-006
25.3906	3.81149e-006
25.7813	1.04234e-005
26.1719	1.38358e-005
26.5625	4.39424e-006
26.9531	5.66955e-006
27.3438	4.2545e-006
27.7344	7.52318e-006
28.125	9.82882e-006
28.5156	2.64816e-006
28.9063	3.41348e-006
29.2969	2.53197e-006
29.6875	8.28197e-006
30.0781	1.11749e-005
30.4688	5.13552e-006
30.8594	3.99289e-006
31.25	9.03362e-006
31.6406	6.28631e-006
32.0313	6.86155e-006
32.4219	9.20581e-006
32.8125	6.50441e-006
33.2031	7.06193e-006
33.5938	4.05532e-006
33.9844	2.68172e-006
34.375	1.70715e-006
34.7656	1.66433e-007
35.1563	3.80033e-006
35.5469	4.70798e-006
35.9375	1.43766e-006
36.3281	7.29489e-006
36.7188	1.19015e-005
37.1094	5.78781e-006
37.5	5.17707e-006
37.8906	4.78662e-006
38.2813	3.51268e-006
38.6719	8.61963e-006
39.0625	1.04191e-005
39.4531	8.27313e-006
39.8438	6.98812e-006
40.2344	5.27983e-006
40.625	5.51888e-006
41.0156	1.16887e-005
41.4063	1.27029e-005
41.7969	5.17587e-006
42.1875	3.17744e-006
42.5781	3.12403e-006
42.9688	3.47051e-006
43.3594	2.15546e-006
43.75	1.14643e-006
44.1406	1.85658e-006
44.5313	6.92082e-007
44.9219	3.28029e-006
45.3125	4.79761e-006
45.7031	3.7395e-006
46.0938	1.08306e-005
46.4844	8.48102e-006
46.875	7.40411e-006
47.2656	4.81511e-006
47.6563	5.96202e-006
48.0469	8.08313e-006
48.4375	2.99936e-006
48.8281	3.16003e-006
49.2188	6.30692e-006
49.6094	4.32339e-005
50	5.60797e-005
50.3906	1.41909e-005
50.7813	9.3981e-006
51.1719	5.63054e-006
51.5625	6.09965e-007
51.9531	2.15892e-006
52.3438	9.13046e-007
52.7344	8.7701e-007
53.125	4.25624e-007
53.5156	1.16519e-006
53.9063	1.29253e-006
54.2969	4.37483e-006
54.6875	7.45907e-006
55.0781	6.3336e-006
55.4688	1.83656e-006
55.8594	5.92606e-006
56.25	3.33243e-006
56.6406	2.29606e-006
57.0313	5.04573e-006
57.4219	5.19667e-006
57.8125	1.65261e-006
58.2031	2.63524e-006
58.5938	2.20959e-006
58.9844	5.06499e-006
59.375	1.05326e-006
59.7656	7.72771e-006
60.1563	1.98524e-006
60.5469	6.21183e-006
60.9375	1.61356e-006
61.3281	3.31733e-006
61.7188	4.81987e-006
62.1094	4.38864e-006
62.5	9.29062e-007
62.8906	7.67299e-006
63.2813	9.7583e-006
63.6719	5.86691e-006
64.0625	4.76931e-006
64.4531	3.49867e-006
64.8438	1.72426e-006
65.2344	5.40033e-006
65.625	4.66625e-006
66.0156	4.24638e-006
66.4063	3.86596e-006
66.7969	2.43215e-006
67.1875	3.08213e-006
67.5781	1.74353e-006
67.9688	3.90844e-006
68.3594	4.37633e-006
68.75	5.87594e-006
69.1406	8.24477e-006
69.5313	6.51694e-006
69.9219	2.16582e-006
70.3125	1.83821e-006
70.7031	4.90255e-006
71.0938	5.48687e-006
71.4844	5.26718e-006
71.875	1.57391e-006
72.2656	2.79954e-006
72.6563	2.04575e-006
73.0469	1.59338e-006
73.4375	1.2989e-006
73.8281	6.63898e-007
74.2188	4.06709e-006
74.6094	5.16442e-006
75	3.07191e-006
75.3906	1.52831e-006
75.7813	2.83093e-006
76.1719	1.91892e-006
76.5625	3.99778e-006
76.9531	3.67391e-006
77.3438	6.6281e-006
77.7344	6.94703e-006
78.125	9.55002e-007
78.5156	2.58716e-006
78.9063	2.31888e-006
79.2969	1.5111e-006
79.6875	1.28806e-006
80.0781	2.59923e-006
80.4688	2.30146e-006
80.8594	2.3915e-006
81.25	6.17434e-006
81.6406	4.31726e-006
82.0313	1.24423e-006
82.4219	1.30949e-006
82.8125	2.79837e-006
83.2031	2.56195e-006
83.5938	2.34472e-006
83.9844	3.10631e-006
84.375	5.28517e-006
84.7656	4.47181e-006
85.1563	4.66622e-007
85.5469	2.42359e-006
85.9375	1.50766e-006
86.3281	2.70007e-006
86.7188	2.79413e-006
87.1094	6.22265e-006
87.5	5.09851e-006
87.8906	2.71751e-006
88.2813	2.54445e-006
88.6719	3.38257e-006
89.0625	7.09623e-006
89.4531	2.89016e-006
89.8438	2.73573e-006
90.2344	2.30775e-006
90.625	1.97522e-006
91.0156	1.08585e-006
91.4063	4.19092e-006
91.7969	2.4279e-006
92.1875	2.088e-006
92.5781	1.68583e-006
92.9688	4.19699e-006
93.3594	6.06747e-006
93.75	3.14057e-006
94.1406	5.42269e-006
94.5313	5.11837e-006
94.9219	1.6905e-006
95.3125	3.1296e-006
95.7031	4.16024e-006
96.0938	3.81043e-006
96.4844	4.20692e-006
96.875	9.06183e-006
97.2656	8.38361e-006
97.6563	1.66632e-005
98.0469	2.89053e-005
