	S:1
Hz	Magnitude, N
0	0.000431099
0.390625	0.000397763
0.78125	4.95263e-005
1.17188	3.09806e-005
1.5625	2.36908e-005
1.95313	2.51519e-005
2.34375	1.2488e-005
2.73438	1.70049e-005
3.125	2.08568e-005
3.51563	1.27548e-005
3.90625	9.33108e-006
4.29688	5.17154e-006
4.6875	2.00117e-005
5.07813	2.35812e-005
5.46875	8.97215e-006
5.85938	6.52321e-006
6.25	1.00662e-005
6.64063	7.84525e-006
7.03125	4.46304e-006
7.42188	1.11933e-005
7.8125	1.68767e-005
8.20313	8.90205e-006
8.59375	4.99671e-006
8.98438	1.74944e-005
9.375	1.95225e-005
9.76563	1.1751e-005
10.1563	7.36428e-006
10.5469	4.81007e-006
10.9375	6.17715e-006
11.3281	6.53902e-006
11.7188	1.29371e-005
12.1094	1.44872e-005
12.5	5.31301e-006
12.8906	4.39959e-006
13.2813	8.65349e-006
13.6719	1.36781e-005
14.0625	1.48523e-005
14.4531	1.60691e-005
14.8438	7.25832e-006
15.2344	2.1068e-006
15.625	8.28051e-006
16.0156	5.11829e-006
16.4063	7.54521e-006
16.7969	5.39945e-006
17.1875	6.5788e-006
17.5781	3.32883e-006
17.9688	6.80889e-006
18.3594	7.11384e-006
18.75	4.29161e-006
19.1406	3.47612e-006
19.5313	3.24307e-006
19.9219	4.59002e-006
20.3125	1.05705e-005
20.7031	8.28476e-006
21.0938	2.14521e-006
21.4844	1.96713e-006
21.875	3.51151e-005
22.2656	6.34402e-005
22.6563	2.37096e-005
23.0469	9.83828e-006
23.4375	1.46878e-005
23.8281	1.28542e-005
24.2188	1.2878e-005
24.6094	1.18069e-005
25	3.85161e-006
25.3906	3.10571e-006
25.7813	5.35134e-006
26.1719	2.95713e-006
26.5625	2.67162e-006
26.9531	5.29173e-006
27.3438	1.09181e-006
27.7344	9.92033e-006
28.125	1.01022e-005
28.5156	7.92458e-006
28.9063	7.21154e-006
29.2969	5.86222e-006
29.6875	5.24986e-006
30.0781	2.27998e-006
30.4688	2.8368e-006
30.8594	8.91257e-006
31.25	9.22797e-006
31.6406	5.0605e-006
32.0313	1.37268e-005
32.4219	1.70854e-005
32.8125	7.86308e-006
33.2031	4.39876e-006
33.5938	1.57142e-006
33.9844	5.39457e-006
34.375	1.09106e-005
34.7656	1.49062e-005
35.1563	7.93639e-006
35.5469	5.42815e-006
35.9375	4.45747e-006
36.3281	3.21334e-006
36.7188	6.27753e-006
37.1094	5.58658e-006
37.5	1.8654e-006
37.8906	6.67286e-006
38.2813	3.71416e-006
38.6719	7.35282e-006
39.0625	2.12666e-006
39.4531	2.80879e-006
39.8438	3.66433e-006
40.2344	1.83214e-006
40.625	1.19325e-006
41.0156	1.95377e-006
41.4063	8.79326e-007
41.7969	4.08717e-006
42.1875	2.06251e-006
42.5781	7.4215e-007
42.9688	2.02989e-006
43.3594	4.22578e-006
43.75	5.30065e-006
44.1406	3.77009e-006
44.5313	4.39958e-006
44.9219	2.84211e-006
45.3125	8.03307e-006
45.7031	2.67517e-006
46.0938	1.34056e-005
46.4844	9.09933e-006
46.875	4.68688e-006
47.2656	5.85413e-006
47.6563	1.7406e-006
48.0469	7.42188e-006
48.4375	5.86726e-006
48.8281	7.35201e-007
49.2188	3.87562e-006
49.6094	1.62621e-005
50	3.022e-005
50.3906	1.54625e-005
50.7813	3.2362e-006
51.1719	3.7809e-006
51.5625	2.92367e-006
51.9531	4.56856e-006
52.3438	1.37367e-006
52.7344	4.77535e-006
53.125	8.91883e-006
53.5156	1.1694e-005
53.9063	9.46281e-006
54.2969	8.15178e-006
54.6875	3.8809e-006
55.0781	1.8946e-006
55.4688	1.98374e-006
55.8594	4.50903e-006
56.25	4.05944e-006
56.6406	4.06087e-006
57.0313	2.57332e-006
57.4219	4.30447e-006
57.8125	4.21433e-006
58.2031	2.46137e-006
58.5938	5.46943e-006
58.9844	2.43813e-006
59.375	3.1037e-006
59.7656	7.19239e-006
60.1563	7.70004e-006
60.5469	3.11948e-006
60.9375	2.42986e-006
61.3281	4.67169e-006
61.7188	6.72942e-006
62.1094	4.2468e-006
62.5	3.34253e-006
62.8906	3.84052e-006
63.2813	5.16817e-006
63.6719	3.35681e-006
64.0625	4.93755e-006
64.4531	3.95716e-006
64.8438	2.13727e-006
65.2344	6.18041e-006
65.625	1.07641e-005
66.0156	6.3678e-006
66.4063	6.13177e-006
66.7969	6.55284e-006
67.1875	4.1768e-006
67.5781	3.27734e-006
67.9688	1.42219e-006
68.3594	3.1218e-006
68.75	7.09249e-007
69.1406	2.11991e-006
69.5313	4.17066e-006
69.9219	4.48803e-006
70.3125	3.67089e-006
70.7031	1.59673e-006
71.0938	3.93557e-006
71.4844	3.6512e-006
71.875	1.37012e-006
72.2656	4.21236e-006
72.6563	6.42486e-006
73.0469	4.1412e-006
73.4375	2.95032e-006
73.8281	5.42165e-006
74.2188	5.09361e-006
74.6094	6.43474e-006
75	5.78246e-006
75.3906	3.84347e-006
75.7813	2.35652e-006
76.1719	1.50057e-006
76.5625	1.05357e-006
76.9531	5.80251e-006
77.3438	6.96729e-006
77.7344	3.07746e-006
78.125	8.757e-006
78.5156	4.79206e-006
78.9063	5.59178e-006
79.2969	6.02232e-006
79.6875	5.43426e-006
80.0781	5.61355e-006
80.4688	6.02898e-006
80.8594	2.84704e-006
81.25	4.2283e-006
81.6406	3.12994e-006
82.0313	2.80252e-006
82.4219	2.22843e-006
82.8125	3.87645e-006
83.2031	4.84335e-006
83.5938	3.19082e-006
83.9844	2.61642e-006
84.375	2.84842e-006
84.7656	2.8107e-006
85.1563	1.87309e-006
85.5469	4.6884e-007
85.9375	1.28884e-006
86.3281	9.50792e-007
86.7188	3.11375e-006
87.1094	5.37997e-006
87.5	1.88375e-006
87.8906	3.5605e-006
88.2813	2.53967e-006
88.6719	1.61088e-006
89.0625	5.67373e-006
89.4531	2.27453e-006
89.8438	4.20157e-006
90.2344	4.70809e-006
90.625	1.33055e-006
91.0156	3.8318e-006
91.4063	5.7728e-006
91.7969	6.0997e-006
92.1875	5.02348e-006
92.5781	8.33447e-006
92.9688	7.41723e-006
93.3594	1.13971e-006
93.75	5.13744e-006
