	S:1
Hz	Magnitude, N
0	0.000153146
0.390625	0.000133708
0.78125	7.31897e-005
1.17188	5.78128e-005
1.5625	3.60459e-005
1.95313	1.67271e-005
2.34375	1.9666e-005
2.73438	1.20281e-005
3.125	1.56889e-005
3.51563	6.29084e-006
3.90625	1.02756e-005
4.29688	1.25518e-005
4.6875	7.95415e-006
5.07813	5.36116e-006
5.46875	4.11805e-006
5.85938	4.43206e-006
6.25	1.1372e-005
6.64063	1.41032e-005
7.03125	1.57258e-005
7.42188	9.67854e-006
7.8125	6.4454e-006
8.20313	1.28523e-005
8.59375	4.6423e-006
8.98438	1.78056e-005
9.375	2.35644e-005
9.76563	1.7241e-005
10.1563	8.30089e-006
10.5469	4.91037e-006
10.9375	7.80747e-006
11.3281	2.48033e-006
11.7188	7.33885e-006
12.1094	1.28589e-005
12.5	2.02584e-005
12.8906	1.83762e-005
13.2813	4.24378e-006
13.6719	8.08091e-006
14.0625	1.18417e-005
14.4531	4.37153e-006
14.8438	1.17268e-005
15.2344	1.51976e-005
15.625	9.49182e-006
16.0156	3.74618e-006
16.4063	7.74765e-006
16.7969	8.89997e-006
17.1875	6.38841e-006
17.5781	7.49099e-006
17.9688	4.86959e-006
18.3594	2.55201e-006
18.75	4.6182e-006
19.1406	3.27577e-006
19.5313	1.12921e-005
19.9219	1.16278e-005
20.3125	4.84489e-006
20.7031	3.25699e-006
21.0938	3.64383e-006
21.4844	1.95281e-006
21.875	1.08662e-005
22.2656	8.82682e-006
22.6563	4.43881e-006
23.0469	3.80747e-006
23.4375	4.97604e-006
23.8281	6.8596e-006
24.2188	1.42206e-005
24.6094	1.26207e-005
25	6.78467e-006
25.3906	6.02782e-006
25.7813	4.94135e-006
26.1719	4.44422e-006
26.5625	3.79098e-006
26.9531	5.14578e-006
27.3438	6.51481e-006
27.7344	5.77977e-006
28.125	6.57753e-006
28.5156	8.12534e-006
28.9063	1.989e-006
29.2969	2.4483e-006
29.6875	3.4582e-006
30.0781	5.05418e-006
30.4688	2.69207e-006
30.8594	4.11488e-006
31.25	5.20101e-006
31.6406	7.84263e-006
32.0313	1.67504e-005
32.4219	1.79449e-005
32.8125	8.61543e-006
33.2031	4.96236e-006
33.5938	3.61776e-006
33.9844	2.19072e-006
34.375	5.54643e-006
34.7656	8.89908e-006
35.1563	4.33204e-006
35.5469	5.16271e-006
35.9375	1.03146e-005
36.3281	5.96922e-006
36.7188	8.0449e-006
37.1094	1.88788e-006
37.5	6.72139e-006
37.8906	3.86053e-006
38.2813	1.10446e-006
38.6719	3.81863e-006
39.0625	8.72234e-006
39.4531	8.69452e-006
39.8438	6.52725e-006
40.2344	6.16244e-006
40.625	3.91867e-006
41.0156	6.49377e-006
41.4063	6.59414e-006
41.7969	2.1792e-006
42.1875	3.8416e-006
42.5781	2.30671e-006
42.9688	1.48751e-006
43.3594	3.62132e-006
43.75	7.55154e-006
44.1406	1.25702e-005
44.5313	1.19258e-005
44.9219	5.61525e-006
45.3125	2.64708e-006
45.7031	5.41842e-006
46.0938	1.16122e-005
46.4844	6.97915e-006
46.875	3.00163e-006
47.2656	3.8766e-006
47.6563	1.62358e-006
48.0469	1.24165e-006
48.4375	4.74579e-006
48.8281	6.48304e-006
49.2188	3.83882e-006
49.6094	2.28878e-005
50	3.60598e-005
50.3906	1.71159e-005
50.7813	2.11461e-006
51.1719	3.82856e-006
51.5625	7.80054e-006
51.9531	6.85597e-006
52.3438	7.91765e-006
52.7344	8.76963e-006
53.125	8.48288e-006
53.5156	6.54186e-006
53.9063	7.61715e-006
54.2969	5.28926e-006
54.6875	2.34229e-006
55.0781	2.83627e-006
55.4688	1.31758e-006
55.8594	4.13318e-006
56.25	3.93143e-006
56.6406	5.97262e-007
57.0313	3.51297e-006
57.4219	3.68564e-006
57.8125	2.76741e-006
58.2031	4.58091e-006
58.5938	2.07908e-006
58.9844	6.14444e-007
59.375	4.37429e-006
59.7656	5.51812e-006
60.1563	1.57002e-006
60.5469	3.59007e-006
60.9375	3.96708e-006
61.3281	3.30093e-006
61.7188	2.9315e-006
62.1094	2.95857e-006
62.5	2.43364e-006
62.8906	2.57672e-007
