	X:1
sec	Real, N
0	0.000351851
0.0003125	0.000139576
0.000625	0.000184393
0.0009375	0.000209895
0.00125	-3.32571e-005
0.0015625	9.56279e-005
0.001875	5.97838e-005
0.0021875	8.6839e-005
0.0025	-0.000327919
0.0028125	9.01065e-005
0.003125	7.12325e-005
0.0034375	0.000178143
0.00375	0.000358451
0.0040625	0.00036946
0.004375	0.000652764
0.0046875	0.00069438
0.005	0.000699864
0.0053125	0.000580659
0.005625	0.000683061
0.0059375	0.000518402
0.00625	0.000275196
0.0065625	0.000507964
0.006875	0.000413014
0.0071875	0.000501374
0.0075	0.000547158
0.0078125	0.000199265
0.008125	0.000358397
0.0084375	0.000108066
0.00875	2.35067e-005
0.0090625	6.5509e-006
0.009375	0.000133743
0.0096875	-8.07199e-005
0.01	-0.000177832
0.0103125	-5.98467e-005
0.010625	-1.31014e-005
0.0109375	0.000182207
0.01125	-2.50801e-006
0.0115625	-3.96245e-005
0.011875	4.57124e-005
0.0121875	-0.000168705
0.0125	-0.000236478
0.0128125	-8.08933e-005
0.013125	3.61762e-005
0.0134375	0.000221971
0.01375	0.000369837
0.0140625	0.000187729
0.014375	0.000184553
0.0146875	0.00047165
0.015	0.00033375
0.0153125	0.000280057
0.015625	0.000466614
0.0159375	0.000678022
0.01625	0.000193316
0.0165625	0.000132918
0.016875	0.000486968
0.0171875	0.000177243
0.0175	-4.77836e-005
0.0178125	0.000226138
0.018125	0.000101198
0.0184375	3.59816e-005
0.01875	0.000172861
0.0190625	-6.712e-005
0.019375	-0.000119758
0.0196875	-7.75352e-005
0.02	0.000259294
0.0203125	5.71533e-005
0.020625	8.38966e-005
0.0209375	-3.94461e-005
0.02125	-0.000164653
0.0215625	0.000120255
0.021875	-2.90135e-005
0.0221875	-0.000209447
0.0225	4.17484e-006
0.0228125	-8.26805e-005
0.023125	-3.64705e-005
0.0234375	0.000187685
0.02375	-2.98329e-005
0.0240625	0.00026679
0.024375	0.00037375
0.0246875	0.000399251
0.025	0.000687287
0.0253125	0.000613787
0.025625	0.000318623
0.0259375	0.000571793
0.02625	0.000453841
0.0265625	0.000450213
0.026875	0.00041174
0.0271875	0.000416597
0.0275	0.00060787
0.0278125	0.000374689
0.028125	9.18328e-005
0.0284375	0.000117849
0.02875	0.0001771
0.0290625	0.000331725
0.029375	0.000251132
0.0296875	0.000119107
0.03	0.000267953
0.0303125	0.000266205
0.030625	0.000375791
0.0309375	0.00014758
0.03125	6.07167e-005
0.0315625	1.57592e-005
0.031875	8.72263e-005
0.0321875	7.49184e-005
0.0325	-0.000112488
0.0328125	6.74864e-005
0.033125	0.000167354
0.0334375	0.000401434
0.03375	0.00044532
0.0340625	0.000660773
0.034375	0.0004919
0.0346875	0.000761843
0.035	0.000771779
0.0353125	0.000847496
0.035625	0.000624709
0.0359375	0.000877129
0.03625	0.000561258
0.0365625	0.000443315
0.036875	0.000619448
0.0371875	0.0003178
0.0375	0.000576237
0.0378125	0.000304883
0.038125	0.000473868
0.0384375	0.000427242
0.03875	0.000468199
0.0390625	0.000338909
0.039375	0.000220935
0.0396875	0.00022482
0.04	0.000244517
0.0403125	0.000139687
0.040625	0.000105168
0.0409375	0.000418456
0.04125	0.000149228
0.0415625	0.000174331
0.041875	-6.73418e-005
0.0421875	0.000191992
0.0425	-0.0001473
0.0428125	-0.000293939
0.043125	-2.7847e-005
0.0434375	4.7994e-005
0.04375	7.53269e-005
0.0440625	0.000390232
0.044375	0.000581818
0.0446875	0.000623335
0.045	0.000714187
0.0453125	0.000642333
0.045625	0.000703798
0.0459375	0.000465784
0.04625	0.000928039
0.0465625	0.000628565
0.046875	0.0003453
0.0471875	0.000358409
0.0475	0.000138891
0.0478125	0.000258696
0.048125	0.000174971
0.0484375	0.000166001
0.04875	0.000300388
0.0490625	0.000252832
0.049375	0.000601505
0.0496875	0.000440473
0.05	0.00050533
0.0503125	0.000359975
0.050625	0.000249212
0.0509375	0.000174047
0.05125	0.000309782
0.0515625	3.23119e-005
0.051875	4.88567e-005
0.0521875	-5.43246e-005
0.0525	-0.00029526
0.0528125	-0.000202877
0.053125	-3.33497e-005
0.0534375	0.000135759
0.05375	9.80075e-005
0.0540625	0.000564676
0.054375	0.000674549
0.0546875	0.000409421
0.055	0.000607258
0.0553125	0.000916649
0.055625	0.000527881
0.0559375	0.000547688
0.05625	0.000522976
0.0565625	0.000501756
0.056875	0.000382301
0.0571875	0.000260934
0.0575	0.000396852
0.0578125	0.000232678
0.058125	0.000499307
0.0584375	0.00028787
0.05875	0.000284016
0.0590625	0.000137113
0.059375	0.000278751
0.0596875	0.000167873
0.06	0.000124987
0.0603125	6.13046e-005
0.060625	1.52892e-005
0.0609375	0.000118532
0.06125	-1.65384e-005
0.0615625	-6.48607e-005
0.061875	9.52248e-005
0.0621875	7.09229e-005
0.0625	-0.000155019
0.0628125	-8.82973e-005
0.063125	0.000175785
0.0634375	4.67293e-005
0.06375	0.000303114
0.0640625	0.00047475
0.064375	0.000690157
0.0646875	0.000687258
0.065	0.000379041
0.0653125	0.000638392
0.065625	0.000678108
0.0659375	0.000421235
0.06625	0.000492134
0.0665625	0.000466719
0.066875	0.000427677
0.0671875	0.000304097
0.0675	0.000237325
0.0678125	0.000183843
0.068125	0.000244106
0.0684375	0.000224385
0.06875	0.000288114
0.0690625	0.000190091
0.069375	0.000271663
0.0696875	0.000343272
0.07	0.000241387
0.0703125	0.000130579
0.070625	0.000156354
0.0709375	2.4485e-006
0.07125	0.000115855
0.0715625	0.000157424
0.071875	-0.000202007
0.0721875	2.99841e-005
0.0725	-2.77798e-005
0.0728125	-2.69994e-005
0.073125	0.000270147
0.0734375	0.000399272
0.07375	0.000105029
0.0740625	0.000717144
0.074375	0.000526379
0.0746875	0.000499931
0.075	0.000518563
0.0753125	0.000810796
0.075625	0.000599605
0.0759375	0.000512148
0.07625	0.000727322
0.0765625	0.000598
0.076875	0.000539177
0.0771875	0.000380331
0.0775	0.000613003
0.0778125	0.000248211
0.078125	0.00012227
0.0784375	0.000270731
0.07875	0.000369314
0.0790625	0.000309128
0.079375	6.6903e-005
0.0796875	0.000183766
0.08	5.68994e-005
0.0803125	7.37345e-005
0.080625	0.000107545
0.0809375	0.000326231
0.08125	0.000495466
0.0815625	0.000273577
0.081875	0.000178943
0.0821875	0.000290246
0.0825	-0.00019855
0.0828125	0.000111594
0.083125	0.00055179
0.0834375	0.00053549
0.08375	0.000611091
0.0840625	0.000599323
0.084375	0.000714645
0.0846875	0.000657104
0.085	0.000874717
0.0853125	0.000825459
0.085625	0.000938429
0.0859375	0.00074983
0.08625	0.000653872
0.0865625	0.000761923
0.086875	0.000773757
0.0871875	0.000689671
0.0875	0.000588481
0.0878125	0.000692643
0.088125	0.000414157
0.0884375	0.000416051
0.08875	0.000491098
0.0890625	0.000246498
0.089375	0.000442029
0.0896875	0.000183627
0.09	0.000438213
0.0903125	0.000341296
0.090625	0.000501184
0.0909375	0.000578372
0.09125	0.000334809
0.0915625	0.000403645
0.091875	0.000203757
0.0921875	-0.000141967
0.0925	5.17092e-005
0.0928125	-3.88983e-006
0.093125	0.000304055
0.0934375	0.000290389
0.09375	0.000270307
0.0940625	0.000305275
0.094375	0.000501333
0.0946875	0.000688226
0.095	0.000433828
0.0953125	0.000563271
0.095625	0.000690969
0.0959375	0.000629403
0.09625	0.000562935
0.0965625	0.000605816
0.096875	0.000573172
0.0971875	0.000543896
0.0975	0.000386954
0.0978125	0.000343095
0.098125	0.00020709
0.0984375	0.000309088
0.09875	0.000471469
0.0990625	0.000231957
0.099375	5.17607e-005
0.0996875	0.000238913
0.1	0.000178955
0.100313	0.000344669
0.100625	0.00053054
0.100938	0.000233612
0.10125	0.00018632
0.101563	0.000260736
0.101875	0.00013884
0.102188	-0.00015648
0.1025	-9.15125e-005
0.102813	8.82514e-006
0.103125	-3.00402e-006
0.103438	0.000159084
0.10375	0.000102614
0.104063	0.000497377
