	X:1
sec	Real, N
0	-0.0264564
0.0003125	-0.0168559
0.000625	-0.00584374
0.0009375	-0.00716702
0.00125	-0.00359178
0.0015625	0.0094441
0.001875	0.0124243
0.0021875	0.0057443
0.0025	0.000967288
0.0028125	-0.00107334
0.003125	-0.00555766
0.0034375	-0.00631002
0.00375	0.00827493
0.0040625	0.0225264
0.004375	0.00886088
0.0046875	0.0219404
0.005	0.0100502
0.0053125	-0.00570689
0.005625	0.00189426
0.0059375	-0.000481483
0.00625	0.023933
0.0065625	-0.0240652
0.006875	-0.0135886
0.0071875	0.00657837
0.0075	0.00854409
0.0078125	0.007895
0.008125	0.00277644
0.0084375	-0.00175627
0.00875	-0.0157993
0.0090625	-0.0235106
0.009375	-0.0182831
0.0096875	-0.0109077
0.01	-0.0107403
0.0103125	-0.00388175
0.010625	0.00690093
0.0109375	0.00941424
0.01125	0.00328585
0.0115625	-0.000892758
0.011875	-0.000818471
0.0121875	-0.00402811
0.0125	-0.00519804
0.0128125	-0.000953984
0.013125	0.00260987
0.0134375	0.00414367
0.01375	0.00413843
0.0140625	0.0102044
0.014375	0.00585114
0.0146875	0.0168838
0.015	0.0228761
0.0153125	0.0110041
0.015625	0.0140694
0.0159375	-0.00288028
0.01625	-0.0112687
0.0165625	-0.00990675
0.016875	-0.0146193
0.0171875	0.0190926
0.0175	-0.019802
0.0178125	-0.0142623
0.018125	0.00818911
0.0184375	0.00797038
0.01875	0.00485879
0.0190625	-5.44678e-006
0.019375	-0.00128934
0.0196875	-0.0165308
0.02	-0.026412
0.0203125	-0.0160641
0.020625	-0.00582192
0.0209375	-0.00728311
0.02125	-0.00306694
0.0215625	0.00988523
0.021875	0.0121112
0.0221875	0.00548876
0.0225	0.000877919
0.0228125	-0.00144323
0.023125	-0.00579503
0.0234375	-0.00599169
0.02375	0.00906064
0.0240625	0.021593
0.024375	0.0086845
0.0246875	0.0224777
0.025	0.00843202
0.0253125	-0.00522551
0.025625	0.00142374
0.0259375	0.000444109
0.02625	0.0234344
0.0265625	-0.0254902
0.026875	-0.0124205
0.0271875	0.0064307
0.0275	0.0085479
0.0278125	0.00740619
0.028125	0.00263368
0.0284375	-0.00193923
0.02875	-0.0168363
0.0290625	-0.0237371
0.029375	-0.0178798
0.0296875	-0.0109718
0.03	-0.010923
0.0303125	-0.00377653
0.030625	0.00718064
0.0309375	0.00926584
0.03125	0.00251738
0.0315625	-0.00128807
0.031875	-0.00108856
0.0321875	-0.00419589
0.0325	-0.00498236
0.0328125	-0.000880794
0.033125	0.00213477
0.0334375	0.0039048
0.03375	0.00379466
0.0340625	0.0104227
0.034375	0.0060144
0.0346875	0.0176039
0.035	0.0222036
0.0353125	0.0107361
0.035625	0.0142804
0.0359375	-0.00343277
0.03625	-0.0113227
0.0365625	-0.0105262
0.036875	-0.0140084
0.0371875	0.0191384
0.0375	-0.020821
0.0378125	-0.0134946
0.038125	0.00812178
0.0384375	0.00795908
0.03875	0.00456878
0.0390625	-0.000124266
0.039375	-0.00134281
0.0396875	-0.0171904
0.04	-0.0264283
0.0403125	-0.0160259
0.040625	-0.00603741
0.0409375	-0.0074477
0.04125	-0.00281245
0.0415625	0.0101288
0.041875	0.0121866
0.0421875	0.00535566
0.0425	0.000886115
0.0428125	-0.00170963
0.043125	-0.00554268
0.0434375	-0.00589326
0.04375	0.00974343
0.0440625	0.0216575
0.044375	0.00864145
0.0446875	0.0229393
0.045	0.00748316
0.0453125	-0.00464588
0.045625	0.000981503
0.0459375	0.00131726
0.04625	0.0228976
0.0465625	-0.0263605
0.046875	-0.0112241
0.0471875	0.00656034
0.0475	0.00887784
0.0478125	0.00743276
0.048125	0.00261162
0.0484375	-0.00223718
0.04875	-0.0168631
0.0490625	-0.0237357
0.049375	-0.0177193
0.0496875	-0.0110127
0.05	-0.0107218
0.0503125	-0.00337774
0.050625	0.00723741
0.0509375	0.00944404
0.05125	0.00276206
0.0515625	-0.00114873
0.051875	-0.000999213
0.0521875	-0.004173
0.0525	-0.0050993
0.0528125	-0.000461904
