	S:1
Hz	Magnitude, N
0	0.00114763
0.390625	0.00121277
0.78125	0.0001638
1.17188	0.000223856
1.5625	0.000104023
1.95313	6.10585e-005
2.34375	5.49896e-005
2.73438	1.99371e-005
3.125	1.04092e-005
3.51563	1.85459e-005
3.90625	1.80661e-005
4.29688	6.49162e-006
4.6875	1.26839e-005
5.07813	1.20786e-005
5.46875	1.45986e-005
5.85938	1.66519e-005
6.25	8.56981e-006
6.64063	1.34094e-005
7.03125	6.66691e-006
7.42188	6.04069e-006
7.8125	7.41179e-006
8.20313	5.24125e-006
8.59375	9.0034e-006
8.98438	2.17993e-005
9.375	2.68672e-005
9.76563	1.92775e-005
10.1563	1.22019e-005
10.5469	5.2363e-006
10.9375	4.76697e-006
11.3281	4.23154e-006
11.7188	7.86164e-006
12.1094	1.08948e-005
12.5	4.36041e-006
12.8906	1.18265e-005
13.2813	1.74634e-005
13.6719	8.73385e-006
14.0625	6.75292e-006
14.4531	4.62074e-006
14.8438	7.79929e-006
15.2344	3.62576e-006
15.625	7.29646e-006
16.0156	6.78243e-006
16.4063	1.74861e-006
16.7969	1.1055e-005
17.1875	1.3009e-005
17.5781	1.1027e-005
17.9688	8.3773e-006
18.3594	4.69976e-006
18.75	3.39254e-006
19.1406	1.97032e-006
19.5313	3.7648e-006
19.9219	6.08461e-006
20.3125	4.40023e-006
20.7031	3.99423e-007
21.0938	5.32411e-006
21.4844	7.94946e-006
21.875	1.93991e-005
22.2656	1.68157e-005
22.6563	4.30095e-006
23.0469	1.09669e-006
23.4375	4.472e-006
23.8281	5.06078e-006
24.2188	7.87901e-006
24.6094	6.43725e-006
25	1.67831e-005
25.3906	9.04207e-006
25.7813	4.18307e-006
26.1719	5.65891e-006
26.5625	9.18299e-006
26.9531	7.39334e-006
27.3438	7.15687e-006
27.7344	1.06777e-005
28.125	7.7068e-006
28.5156	5.60521e-006
28.9063	4.44179e-006
29.2969	3.74822e-006
29.6875	1.46178e-005
30.0781	1.58459e-005
30.4688	7.05362e-006
30.8594	4.12437e-006
31.25	2.21708e-006
31.6406	8.79701e-006
32.0313	1.40214e-006
32.4219	1.82528e-005
32.8125	1.36727e-005
33.2031	2.26511e-006
33.5938	6.37879e-006
33.9844	9.3781e-006
34.375	8.02686e-006
34.7656	9.05573e-006
35.1563	1.02869e-005
35.5469	1.01427e-005
35.9375	1.54709e-005
36.3281	1.09523e-005
36.7188	5.21624e-006
37.1094	5.90777e-006
37.5	2.6333e-006
37.8906	1.96563e-006
38.2813	4.65355e-006
38.6719	6.27231e-006
39.0625	7.88455e-006
39.4531	7.01351e-006
39.8438	1.09193e-006
40.2344	5.34384e-006
40.625	7.74466e-006
41.0156	4.05958e-006
41.4063	5.16033e-006
41.7969	1.33023e-005
42.1875	1.41798e-005
42.5781	5.44845e-006
42.9688	1.68791e-006
43.3594	2.62424e-006
43.75	3.05986e-006
44.1406	4.71555e-006
44.5313	3.23525e-006
44.9219	5.85316e-006
45.3125	3.32603e-006
45.7031	6.41007e-006
46.0938	1.40465e-005
46.4844	8.05355e-006
46.875	2.54716e-006
47.2656	1.75064e-006
47.6563	1.13325e-006
48.0469	3.81697e-006
48.4375	1.01105e-005
48.8281	1.20235e-005
49.2188	3.87665e-006
49.6094	1.43532e-005
50	3.26439e-005
50.3906	1.70115e-005
50.7813	7.31034e-006
51.1719	1.14408e-005
51.5625	4.2557e-006
51.9531	4.06219e-006
52.3438	7.74288e-006
52.7344	8.36211e-006
53.125	6.3963e-006
53.5156	4.10221e-006
53.9063	3.85584e-006
54.2969	4.451e-006
54.6875	2.74048e-006
55.0781	5.51014e-006
55.4688	7.09231e-006
55.8594	1.79581e-006
56.25	3.90181e-006
56.6406	1.70977e-006
57.0313	6.29337e-006
57.4219	6.06076e-006
57.8125	1.18656e-006
58.2031	5.51592e-006
58.5938	4.78948e-006
58.9844	1.26303e-006
59.375	1.79364e-006
59.7656	3.64245e-006
60.1563	4.43831e-006
60.5469	4.11937e-006
60.9375	4.47265e-006
61.3281	2.80625e-006
61.7188	4.71973e-006
62.1094	5.11246e-006
62.5	1.66042e-006
62.8906	6.01942e-006
63.2813	7.79152e-006
63.6719	4.61126e-006
64.0625	1.45478e-006
64.4531	2.53273e-006
64.8438	3.1355e-006
65.2344	4.99122e-006
65.625	4.88222e-006
66.0156	4.90715e-006
66.4063	6.55743e-006
66.7969	3.02907e-006
67.1875	5.4714e-006
67.5781	7.97344e-006
67.9688	2.19336e-006
68.3594	6.2485e-006
68.75	6.75491e-006
69.1406	3.08091e-006
69.5313	1.61796e-006
69.9219	2.10339e-006
70.3125	3.43725e-006
70.7031	5.66104e-006
71.0938	2.79769e-006
71.4844	3.46407e-006
71.875	2.7587e-006
72.2656	7.67451e-007
72.6563	2.17991e-006
73.0469	4.1044e-006
73.4375	8.22966e-006
73.8281	1.25332e-005
74.2188	5.2582e-006
74.6094	2.74045e-006
75	3.42293e-006
75.3906	3.1802e-006
