	X:1
sec	Real, N
0	-0.00488676
0.0003125	-0.000793589
0.000625	0.00837353
0.0009375	0.011376
0.00125	0.00532915
0.0015625	0.000980997
0.001875	-1.02754e-005
0.0021875	-0.00341187
0.0025	-0.00358362
0.0028125	-0.00133051
0.003125	0.00485185
0.0034375	0.0074258
0.00375	0.0105261
0.0040625	0.0271648
0.004375	0.0205188
0.0046875	0.0217
0.005	0.0150256
0.0053125	-0.00138651
0.005625	-0.00757413
0.0059375	-0.00761117
0.00625	-0.0178022
0.0065625	0.0175573
0.006875	-0.00641398
0.0071875	-0.0136074
0.0075	0.00705739
0.0078125	0.0105177
0.008125	0.010554
0.0084375	0.0014926
0.00875	-0.00521052
0.0090625	-0.0177701
0.009375	-0.0253204
0.0096875	-0.0175948
0.01	-0.00614319
0.0103125	-0.00386072
0.010625	-0.00274384
0.0109375	0.00766602
0.01125	0.0133161
0.0115625	0.00823118
0.011875	0.00177113
0.0121875	0.000364885
0.0125	-0.00276954
0.0128125	-0.00480766
0.013125	0.00107775
0.0134375	0.0106189
0.01375	0.0214825
0.0140625	0.015389
0.014375	0.0245514
0.0146875	0.0233889
0.015	-0.00232816
0.0153125	-0.00289527
0.015625	-0.00402795
0.0159375	-0.0113292
0.01625	0.0205212
0.0165625	-0.0120324
0.016875	-0.0111358
0.0171875	0.00751462
0.0175	0.00912993
0.0178125	0.00960126
0.018125	0.00321702
0.0184375	-0.00397114
0.01875	-0.0185639
0.0190625	-0.0259047
0.019375	-0.018831
0.0196875	-0.00765175
0.02	-0.00501883
0.0203125	-0.000702451
0.020625	0.00834428
0.0209375	0.0114161
0.02125	0.0054436
0.0215625	0.000751537
0.021875	-9.83327e-005
0.0221875	-0.00311632
0.0225	-0.00386875
0.0228125	-0.00159642
0.023125	0.00453488
0.0234375	0.00736175
0.02375	0.0105814
0.0240625	0.026658
0.024375	0.0202497
0.0246875	0.0217414
0.025	0.0146452
0.0253125	-0.00126909
0.025625	-0.00766524
0.0259375	-0.00742871
0.02625	-0.0182391
0.0265625	0.0173578
0.026875	-0.00583097
0.0271875	-0.0143759
0.0275	0.00685263
0.0278125	0.0101167
0.028125	0.0104829
0.0284375	0.00133341
0.02875	-0.00501403
0.0290625	-0.0175538
0.029375	-0.0256177
0.0296875	-0.017905
0.03	-0.00660998
0.0303125	-0.00379301
0.030625	-0.00281271
0.0309375	0.00727838
0.03125	0.0132107
0.0315625	0.00823011
0.031875	0.00166603
0.0321875	0.000229859
0.0325	-0.00287944
0.0328125	-0.00497772
