	S:1
Hz	Magnitude, N
0	0.000107267
0.390625	0.000491572
0.78125	0.000476707
1.17188	0.000166702
1.5625	7.46594e-005
1.95313	3.18322e-005
2.34375	1.22644e-005
2.73438	4.05879e-006
3.125	9.94592e-006
3.51563	7.95207e-006
3.90625	3.71155e-006
4.29688	9.66378e-006
4.6875	8.26365e-006
5.07813	9.22257e-006
5.46875	2.08988e-005
5.85938	1.36621e-005
6.25	3.73739e-006
6.64063	7.68428e-006
7.03125	1.01535e-005
7.42188	2.804e-006
7.8125	7.84326e-006
8.20313	7.99812e-006
8.59375	1.13983e-005
8.98438	1.10954e-005
9.375	6.86699e-006
9.76563	9.71551e-006
10.1563	7.80404e-006
10.5469	2.34788e-006
10.9375	5.32037e-007
11.3281	7.90293e-006
11.7188	4.66941e-006
12.1094	5.24503e-006
12.5	1.96174e-006
12.8906	5.79479e-006
13.2813	7.59711e-006
13.6719	5.78427e-006
14.0625	2.30091e-006
14.4531	9.35861e-006
14.8438	8.15701e-006
15.2344	6.25648e-006
15.625	5.6751e-006
16.0156	6.55732e-006
16.4063	9.47899e-006
16.7969	5.1925e-006
17.1875	1.04728e-005
17.5781	1.07831e-005
17.9688	1.66974e-005
18.3594	1.05989e-005
18.75	6.68937e-006
19.1406	1.41515e-005
19.5313	7.00306e-006
19.9219	1.02944e-005
20.3125	9.19612e-006
20.7031	8.01438e-006
21.0938	1.27184e-005
21.4844	6.71612e-006
21.875	5.83493e-006
22.2656	3.91335e-006
22.6563	1.8518e-005
23.0469	2.11573e-005
23.4375	1.99923e-005
23.8281	2.33469e-005
24.2188	2.49037e-005
24.6094	2.59291e-005
25	2.70393e-005
25.3906	2.78879e-005
25.7813	2.11962e-005
26.1719	1.13667e-005
26.5625	1.09764e-005
26.9531	1.60237e-005
27.3438	1.65632e-005
27.7344	1.64649e-005
28.125	1.75876e-005
28.5156	1.96926e-005
28.9063	1.6819e-005
29.2969	1.7414e-005
29.6875	2.57671e-005
30.0781	2.77464e-005
30.4688	2.31736e-005
30.8594	3.06761e-005
